Date,Open,High,Low,Settle,Volume
4/7/2015,129.4375,129.5,129.125,129.359375,784025
4/6/2015,129.90625,130.03125,129.34375,129.421875,505767
4/2/2015,129.421875,129.71875,129.09375,129.171875,848819
4/1/2015,128.90625,129.515625,128.75,129.375,1093129
3/31/2015,128.71875,128.953125,128.5625,128.90625,1037002
3/30/2015,128.546875,128.765625,128.4375,128.59375,768677
3/27/2015,128.390625,128.703125,128.25,128.6875,923543
3/26/2015,128.71875,129.0625,128.171875,128.234375,1317271
3/25/2015,129.15625,129.390625,128.75,128.8125,983311
3/24/2015,128.875,129.21875,128.75,129.09375,951765
3/23/2015,128.6875,128.9375,128.609375,128.84375,731373
3/20/2015,128.234375,128.765625,128.234375,128.6875,773514
3/19/2015,129.359375,129.5625,128.703125,128.8125,14151
3/18/2015,128.1875,129.515625,128.15625,129.15625,16074
3/17/2015,127.984375,128.3125,127.984375,128.109375,15590
3/16/2015,127.8125,128.140625,127.71875,127.84375,10839
3/13/2015,127.609375,128,127.421875,127.765625,6074
3/12/2015,127.609375,128.28125,127.546875,127.828125,16733
3/11/2015,127.609375,127.78125,127.265625,127.609375,11712
3/10/2015,127.109375,127.703125,126.984375,127.5625,26142
3/9/2015,126.734375,127.140625,126.65625,127.09375,47054
3/6/2015,127.6875,128.171875,126.625,126.75,38837
3/5/2015,127.640625,127.828125,127.390625,127.71875,74412
3/4/2015,127.515625,127.75,127.390625,127.5625,61727
3/3/2015,127.8125,127.859375,127.4375,127.46875,58722
3/2/2015,128.40625,128.5,127.6875,127.765625,167888
2/27/2015,128.234375,128.484375,128.015625,128.421875,348260
2/26/2015,128.703125,129.03125,128.09375,128.28125,1444953
2/25/2015,128.703125,128.890625,128.515625,128.71875,2015428
2/24/2015,128.03125,128.78125,127.578125,128.6875,2469418
2/23/2015,127.5,128.046875,127.421875,128.015625,1378442
2/20/2015,127.546875,128.234375,127.3125,127.40625,1501818
2/19/2015,127.96875,128.25,127.5,127.59375,1216270
2/18/2015,127.359375,128.25,127.0625,128.015625,1619814
2/17/2015,128.046875,128.4375,127.140625,127.25,1642443
2/13/2015,128.4375,128.5,128.046875,128.234375,904973
2/12/2015,128.15625,128.59375,127.859375,128.421875,1480079
2/11/2015,128.375,128.59375,128,128.359375,1110345
2/10/2015,128.4375,128.5625,128.125,128.359375,1257502
2/9/2015,128.609375,129.109375,128.34375,128.609375,1124361
2/6/2015,129.796875,130.359375,128.5,128.71875,1789624
2/5/2015,130.4375,130.625,129.65625,129.859375,1189714
2/4/2015,129.96875,130.484375,129.578125,130,1541180
2/3/2015,130.921875,131.046875,129.890625,130.0625,1362029
2/2/2015,131.046875,131.109375,130.5625,130.921875,1254041
1/30/2015,130.203125,131.09375,130.125,130.875,1673441
1/29/2015,130.421875,130.53125,129.90625,130.1875,1276879
1/28/2015,129.65625,130.625,129.5,130.46875,1283889
1/27/2015,129.546875,130.171875,129.5,129.65625,1179250
1/26/2015,130,130.1875,129.375,129.5,901860
1/23/2015,129.3125,130.015625,129.21875,129.671875,1154489
1/22/2015,129.359375,129.84375,128.734375,129.125,1678480
1/21/2015,129.9375,130.140625,129.28125,129.4375,1557300
1/20/2015,129.8125,130.34375,129.65625,129.859375,1332175
1/16/2015,130.75,130.9375,129.734375,129.859375,1601076
1/15/2015,129.59375,130.9375,129.203125,130.34375,1863973
1/14/2015,129.265625,130.234375,129.203125,129.765625,1988234
1/13/2015,129.109375,129.546875,128.84375,129.3125,1643242
1/12/2015,128.78125,129.140625,128.53125,129.0625,835617
1/9/2015,128.109375,128.84375,128.0625,128.578125,1446688
1/8/2015,128.3125,128.375,127.96875,128.109375,935540
1/7/2015,128.5,128.6875,128.015625,128.46875,1473262
1/6/2015,127.75,129.109375,127.734375,128.359375,1728450
1/5/2015,127.15625,127.84375,127.046875,127.765625,894877
1/2/2015,126.609375,127.328125,126.40625,127.15625,764609
12/31/2014,126.609375,126.8125,126.5625,126.796875,267716
12/30/2014,126.375,126.75,126.375,126.57812,414088
12/29/2014,126,126.48438,125.96875,126.39062,428812
