Date,Settle,Volume
4/7/2015,99.8275,0
4/6/2015,99.8225,0
4/2/2015,99.8225,0
4/1/2015,99.8225,0
3/31/2015,99.8225,0
3/30/2015,99.8225,0
3/27/2015,99.8225,0
3/26/2015,99.8225,0
3/25/2015,99.8225,0
3/24/2015,99.825,0
3/23/2015,99.8225,0
3/20/2015,99.8225,0
3/19/2015,99.8225,0
3/18/2015,99.82,0
3/17/2015,99.8175,0
3/16/2015,99.8175,2
3/13/2015,99.825,1
3/12/2015,99.825,0
3/11/2015,99.8225,0
3/10/2015,99.825,0
3/9/2015,99.825,0
3/6/2015,99.825,0
3/5/2015,99.825,0
3/4/2015,99.825,0
3/3/2015,99.825,0
3/2/2015,99.825,0
2/27/2015,99.825,0
2/26/2015,99.825,0
2/25/2015,99.8225,1
2/24/2015,99.825,0
2/23/2015,99.825,0
2/20/2015,99.8225,0
2/19/2015,99.825,0
2/18/2015,99.825,0
2/17/2015,99.8225,193
2/13/2015,99.8275,0
2/12/2015,99.8275,0
2/11/2015,99.83,1
2/10/2015,99.83,0
2/9/2015,99.835,0
2/6/2015,99.8275,0
2/5/2015,99.8275,0
2/4/2015,99.8275,0
2/3/2015,99.8275,0
2/2/2015,99.8275,0
1/30/2015,99.8275,0
1/29/2015,99.8275,0
1/27/2015,99.83,0
1/26/2015,99.83,0
1/23/2015,99.83,0
1/22/2015,99.83,254
1/21/2015,99.825,0
1/20/2015,99.83,26
1/16/2015,99.83,0
1/15/2015,99.83,0
1/14/2015,99.83,0
1/13/2015,99.83,0
1/12/2015,99.8325,0
1/9/2015,99.8325,0
1/8/2015,99.8325,0
1/7/2015,99.8325,0
1/6/2015,99.8325,0
1/5/2015,99.8325,0
1/2/2015,99.8275,0
12/31/2014,99.8275,0
12/30/2014,99.8275,0
12/29/2014,99.8275,0
12/26/2014,99.8275,0
12/24/2014,99.8275,0
12/23/2014,99.83,0
12/22/2014,99.83,0
12/19/2014,99.8325,0
12/18/2014,99.8325,0
12/17/2014,99.8325,0
12/16/2014,99.835,0
12/15/2014,99.8325,0
12/12/2014,99.8375,0
12/11/2014,99.84,0
12/10/2014,99.84,0
12/9/2014,99.84,0
12/8/2014,99.84,0
12/5/2014,99.8425,0
12/4/2014,99.845,0
12/3/2014,99.845,0
12/2/2014,99.845,0
12/1/2014,99.845,0
11/28/2014,99.8425,0
11/26/2014,99.8425,0
11/25/2014,99.8425,0
11/24/2014,99.8425,0
11/21/2014,99.845,0
11/20/2014,99.845,0
11/19/2014,99.845,0
11/18/2014,99.845,0
11/17/2014,99.8425,0
11/14/2014,99.845,0
11/13/2014,99.845,0
11/12/2014,99.84,0
11/11/2014,99.84,0
11/10/2014,99.845,0
11/7/2014,99.845,0
11/6/2014,99.845,0
11/5/2014,99.845,0
11/4/2014,99.845,0
11/3/2014,99.845,0
10/31/2014,99.845,0
10/30/2014,99.845,0
10/29/2014,99.845,0
10/28/2014,99.845,0
10/27/2014,99.845,0
10/24/2014,99.845,0
10/23/2014,99.845,0
10/22/2014,99.845,0
10/21/2014,99.8425,0
10/20/2014,99.8425,0
10/17/2014,99.845,0
10/16/2014,99.845,0
10/15/2014,99.85,565
10/14/2014,99.85,125
10/13/2014,99.845,0
10/10/2014,99.845,0
10/9/2014,99.8475,0
10/8/2014,99.8475,0
10/7/2014,99.845,0
10/6/2014,99.845,0
10/3/2014,99.845,0
10/2/2014,99.8475,0
10/1/2014,99.845,1274
9/30/2014,99.845,0
9/29/2014,99.845,0
9/26/2014,99.845,0
9/25/2014,99.8475,0
9/24/2014,99.845,0
9/23/2014,99.845,0
9/22/2014,99.845,0
9/19/2014,99.845,0
9/18/2014,99.845,0
9/17/2014,99.845,0
9/16/2014,99.845,0
9/15/2014,99.845,0
9/12/2014,99.845,0
9/11/2014,99.845,0
9/10/2014,99.8475,0
9/9/2014,99.8475,0
9/8/2014,99.8475,0
9/5/2014,99.8475,0
9/4/2014,99.8475,0
9/3/2014,99.845,0
9/2/2014,99.845,0
8/29/2014,99.845,0
8/28/2014,99.845,0
8/27/2014,99.845,0
8/26/2014,99.845,0
8/25/2014,99.845,0
8/22/2014,99.845,0
8/21/2014,99.845,0
8/20/2014,99.845,0
8/19/2014,99.845,0
8/18/2014,99.8475,0
8/15/2014,99.845,0
8/14/2014,99.845,0
8/13/2014,99.845,0
8/12/2014,99.845,0
8/11/2014,99.845,0
8/8/2014,99.845,0
8/7/2014,99.845,0
8/6/2014,99.845,0
8/5/2014,99.845,100
8/4/2014,99.845,0
8/1/2014,99.845,0
7/31/2014,99.845,0
7/30/2014,99.845,0
7/29/2014,99.845,0
7/28/2014,99.845,0
7/25/2014,99.845,0
7/24/2014,99.845,0
7/23/2014,99.845,0
7/22/2014,99.845,0
7/21/2014,99.845,0
7/18/2014,99.845,0
7/17/2014,99.845,0
7/16/2014,99.8475,3
7/15/2014,99.8475,0
7/14/2014,99.8475,0
7/11/2014,99.8475,691
7/10/2014,99.8475,0
7/9/2014,99.8475,0
7/8/2014,99.8475,0
7/7/2014,99.8475,0
7/3/2014,99.845,0
7/2/2014,99.8475,0
7/1/2014,99.8475,0
6/30/2014,99.8475,0
6/27/2014,99.8475,0
6/26/2014,99.85,0
6/25/2014,99.8475,0
6/24/2014,99.8475,17
6/23/2014,99.8475,0
6/20/2014,99.845,0
6/19/2014,99.845,0
6/18/2014,99.845,8
6/17/2014,99.845,210
6/16/2014,99.845,100
6/13/2014,99.8475,0
6/12/2014,99.8475,0
6/11/2014,99.8475,0
6/10/2014,99.8475,0
6/9/2014,99.85,0
6/6/2014,99.85,0
6/5/2014,99.85,0
6/4/2014,99.85,0
6/3/2014,99.85,0
6/2/2014,99.85,0
5/30/2014,99.85,0
5/29/2014,99.85,0
5/28/2014,99.85,0
5/27/2014,99.85,0
5/23/2014,99.85,0
5/22/2014,99.8525,10
5/21/2014,99.8525,0
5/20/2014,99.8525,0
5/19/2014,99.85,0
5/16/2014,99.8475,219
5/15/2014,99.8475,0
5/14/2014,99.8475,0
5/13/2014,99.85,0
5/12/2014,99.85,60
5/9/2014,99.85,0
5/8/2014,99.85,0
5/7/2014,99.85,0
5/6/2014,99.85,0
5/5/2014,99.85,0
5/2/2014,99.85,0
5/1/2014,99.85,0
4/30/2014,99.85,10
4/29/2014,99.8475,0
4/28/2014,99.8475,0
4/25/2014,99.8475,0
4/24/2014,99.8475,0
4/23/2014,99.8475,0
4/22/2014,99.8475,0
4/21/2014,99.8475,0
4/17/2014,99.8475,0
4/16/2014,99.8475,20
4/15/2014,99.8475,0
4/14/2014,99.8475,0
4/11/2014,99.8475,0
4/10/2014,99.8475,0
4/9/2014,99.8475,0
4/8/2014,99.8475,0
4/7/2014,99.8475,35
4/4/2014,99.845,2
4/3/2014,99.845,0
4/2/2014,99.845,0
4/1/2014,99.845,1
3/31/2014,99.845,100
3/28/2014,99.845,2
3/27/2014,99.845,0
3/26/2014,99.8425,0
3/25/2014,99.84,0
3/24/2014,99.84,1
3/21/2014,99.84,101
3/20/2014,99.84,89
3/19/2014,99.8375,3
3/18/2014,55.36,0
3/17/2014,55.51,0
3/14/2014,52.39,0
3/13/2014,64.99,0
3/12/2014,64.99,0
3/11/2014,64.99,0
3/7/2014,64.99,0
3/6/2014,64.99,0
3/5/2014,64.99,0
3/4/2014,64.99,0
3/3/2014,64.99,0
2/28/2014,65.46,0
2/27/2014,66.28,0
2/26/2014,67.68,0
2/25/2014,70.59,0
2/24/2014,75,0
2/21/2014,85.83,0
2/20/2014,81.1,0
2/19/2014,86.53,0
2/18/2014,77.45,0
2/14/2014,99.845,0
2/13/2014,99.845,0
2/12/2014,99.8425,24
2/11/2014,99.8425,1
2/10/2014,99.8425,1
2/7/2014,99.8425,2
2/6/2014,99.84,1
2/5/2014,99.84,1
2/4/2014,99.8375,1
2/3/2014,99.8375,11
1/31/2014,99.8375,0
1/30/2014,99.835,0
1/29/2014,99.835,0
1/28/2014,99.835,0
1/27/2014,99.835,0
1/24/2014,99.8375,0
1/23/2014,99.84,0
1/22/2014,99.84,0
1/21/2014,99.84,0
1/17/2014,99.84,0
1/16/2014,99.8375,103
1/15/2014,99.8375,1
1/14/2014,99.8375,1
1/13/2014,99.84,0
1/10/2014,99.8375,0
1/9/2014,99.8375,0
1/8/2014,99.8375,0
1/7/2014,99.8325,0
1/6/2014,99.8325,0
1/3/2014,99.8325,0
1/2/2014,99.83,3
12/31/2013,99.8275,0
12/30/2013,99.8275,0
12/27/2013,99.8275,0
12/26/2013,99.8275,0
12/24/2013,99.83,1
12/23/2013,99.8275,1
12/20/2013,99.8125,0
12/19/2013,99.8175,0
12/18/2013,99.8325,0
12/17/2013,99.8325,0
12/16/2013,99.835,0
12/13/2013,99.835,0
12/12/2013,99.8325,0
12/11/2013,99.8325,0
12/10/2013,99.8325,0
12/9/2013,99.8325,0
12/6/2013,99.835,0
12/5/2013,99.835,0
12/4/2013,99.835,0
12/3/2013,99.8325,0
12/2/2013,99.835,0
11/29/2013,99.835,0
11/27/2013,99.835,0
