Date,Open,High,Low,Settle,Volume
4/7/2015,163.9375,164.96875,163.59375,164.625,163013
4/6/2015,165.75,165.8125,163.5,163.75,109192
4/2/2015,166,166.65625,164.28125,164.5625,166412
4/1/2015,164.03125,166.34375,163.5625,165.8125,225635
3/31/2015,163.71875,164.15625,163.15625,163.875,200583
3/30/2015,164.0625,164.34375,163.25,163.46875,139866
3/27/2015,162.84375,164.46875,162.53125,164.40625,193040
3/26/2015,164.34375,165.21875,162.25,162.40625,261258
3/25/2015,165.25,165.84375,164.34375,164.53125,177201
3/24/2015,163.9375,165.5,163.8125,165.25,191460
3/23/2015,164.21875,164.5,163.65625,164.03125,151064
3/20/2015,163.28125,164.375,163.25,164.15625,149808
3/19/2015,149.3125,149.3125,147.5625,147.96875,3090
3/18/2015,147.4375,148.4375,146.5625,148.15625,2458
3/17/2015,147.125,147.1875,146.40625,146.65625,4007
3/16/2015,146.09375,146.46875,145.71875,145.84375,3990
3/13/2015,145.25,145.96875,145.1875,145.6875,6051
3/12/2015,145.78125,146.59375,145.28125,145.6875,7496
3/11/2015,145.28125,146.03125,144.8125,145.71875,11381
3/10/2015,144.09375,145.34375,144,145.25,8677
3/9/2015,144.1875,144.34375,143.4375,144.1875,18428
3/6/2015,145.40625,145.90625,142.96875,143.375,19068
3/5/2015,145.53125,145.75,144.875,145.46875,13056
3/4/2015,145.21875,145.65625,145,145.34375,33645
3/3/2015,145.78125,146.15625,145.0625,145.15625,50400
3/2/2015,147.09375,147.28125,145.53125,145.8125,41660
2/27/2015,146.65625,147.25,146.21875,147.03125,130389
2/26/2015,146.75,147.78125,146.46875,146.8125,520026
2/25/2015,146.25,147.0625,145.96875,146.875,652710
2/24/2015,145.25,146.46875,144.5625,146.15625,701533
2/23/2015,144.15625,145.40625,144.09375,145.34375,327044
2/20/2015,144.21875,145.4375,143.875,144.03125,348668
2/19/2015,144.59375,145.21875,144.09375,144.3125,314049
2/18/2015,144.1875,145.21875,143.78125,144.8125,403676
2/17/2015,145.5625,146.125,143.9375,144.09375,416472
2/13/2015,146.78125,147,145.53125,145.90625,267316
2/12/2015,146.5,147.3125,145.71875,146.8125,356419
2/11/2015,146.875,147.15625,146.1875,146.90625,301711
