Date,Value
2015-04-07,1.6315
2015-04-03,1.5363
2015-04-02,1.5363
2015-04-01,1.513
2015-03-31,1.5121
2015-03-30,1.5645
2015-03-27,1.5857
2015-03-26,1.5801
2015-03-25,1.5525
2015-03-24,1.5955
2015-03-23,1.6099
2015-03-20,1.6141
2015-03-19,1.5619
2015-03-17,1.5523
2015-03-16,1.4679
2015-03-13,1.4898
2015-03-12,1.4902
2015-03-11,1.5187
2015-03-10,1.5382
2015-03-09,1.5583
2015-03-06,1.516
2015-03-05,1.5377
2015-03-04,1.4793
2015-03-03,1.5494
2015-03-02,1.5739
2015-02-27,1.5714
2015-02-26,1.6008
2015-02-25,1.6515
2015-02-24,1.6502
2015-02-23,1.6899
2015-02-20,1.6925
2015-02-19,1.7289
2015-02-18,1.7451
2015-02-17,1.8195
2015-02-13,1.8236
2015-02-12,1.7814
2015-02-11,1.7862
2015-02-10,1.8482
2015-02-09,1.8399
2015-02-06,1.8169
2015-02-05,1.823
2015-02-04,1.7815
2015-02-03,1.7829
2015-02-02,1.7793
2015-01-30,1.7649
2015-01-29,1.8366
2015-01-28,1.8275
2015-01-26,1.7914
2015-01-23,1.7711
2015-01-22,1.7879
2015-01-21,1.8116
2015-01-20,1.8723
2015-01-19,1.8674
2015-01-16,1.9319
2015-01-15,1.9572
2015-01-14,1.9231
2015-01-13,1.9322
2015-01-12,1.9504
2015-01-09,1.9262
2015-01-05,1.7703
2014-12-23,1.8722
2014-12-22,1.899
2014-12-19,1.8821
2014-12-18,1.8645
2014-12-17,1.9089
2014-12-16,1.9126
2014-12-15,1.8851
2014-12-12,1.9085
2014-12-11,1.9289
2014-12-10,1.9541
2014-12-09,1.934
2014-12-08,1.9538
2014-12-05,1.9762
2014-12-04,1.9912
2014-12-03,1.9897
2014-12-02,2.0398
2014-12-01,2.0287
2014-11-28,2.0977
2014-11-26,2.0976
2014-11-25,2.0731
2014-11-24,2.0645
2014-11-21,2.0521
2014-11-20,2.1414
2014-11-19,2.0774
2014-11-18,2.0754
2014-11-17,2.1046
2014-11-14,2.077
2014-11-13,2.0324
2014-11-12,2.0389
2014-11-11,2.0148
2014-11-07,2.0257
2014-11-06,2.0521
2014-11-05,2.0675
2014-11-04,2.0507
2014-11-03,2.0769
2014-10-31,2.0723
2014-10-30,2.0954
2014-10-29,2.0992
2014-10-28,2.0795
2014-10-27,2.0811
2014-10-24,2.1056
2014-10-23,2.0934
2014-10-22,2.1564
2014-10-21,2.166
2014-10-20,2.281
2014-10-17,2.34
2014-10-16,2.3334
2014-10-15,2.3732
2014-10-14,2.3632
2014-10-13,2.3716
2014-10-10,2.3935
2014-10-09,2.3196
2014-10-08,2.3325
2014-10-07,2.3754
2014-10-06,2.2509
2014-10-03,2.2558
2014-10-02,2.1796
2014-10-01,2.1135
2014-09-30,2.0864
2014-09-29,2.0406
2014-09-26,2.0004
2014-09-25,2.063
2014-09-24,1.9925
2014-09-23,1.973
2014-09-22,1.9558
2014-09-19,1.988
2014-09-18,2.0118
2014-09-17,2.014
2014-09-16,1.9934
2014-09-15,2.0094
2014-09-12,2.0299
2014-09-11,2.0095
2014-09-10,2.1013
2014-09-09,2.1172
2014-09-08,2.1509
2014-09-05,2.2014
2014-09-04,2.1896
2014-09-03,2.2573
2014-09-02,2.1928
2014-08-29,2.1703
2014-08-28,2.1667
2014-08-27,2.152
2014-08-26,2.0682
2014-08-25,2.1033
2014-08-22,2.1033
2014-08-21,2.1013
2014-08-20,2.0807
2014-08-19,2.1401
2014-08-18,2.1352
2014-08-15,2.0764
2014-08-14,2.0945
2014-08-13,2.0808
2014-08-12,2.1251
2014-08-11,2.0512
2014-08-08,2.0738
2014-08-07,2.1341
2014-08-06,2.1311
2014-08-05,2.1273
2014-08-04,2.1678
2014-08-01,2.1788
2014-07-31,2.0443
2014-07-30,2.029
2014-07-29,2.0278
2014-07-28,2.0178
2014-07-25,2.0028
2014-07-24,1.978
2014-07-23,1.9052
2014-07-22,1.9406
2014-07-21,1.9236
2014-07-18,1.8541
2014-07-17,1.8394
2014-07-16,1.8311
2014-07-15,1.8311
2014-07-14,1.8326
2014-07-11,1.8449
2014-07-10,1.9387
2014-07-09,1.939
2014-07-08,1.9264
2014-07-07,1.9369
2014-07-03,1.9486
2014-07-02,1.9343
2014-07-01,1.9662
2014-06-30,1.9575
2014-06-27,2.0248
2014-06-26,2.0319
2014-06-25,1.9717
2014-06-24,1.9848
2014-06-23,1.9779
2014-06-20,1.913
2014-06-19,1.9227
2014-06-18,1.9187
2014-06-17,1.9606
2014-06-16,1.963
2014-06-13,1.9504
2014-06-12,1.946
2014-06-11,1.8994
2014-06-10,1.8693
2014-06-09,1.9399
2014-06-06,1.9338
2014-06-05,1.9388
2014-06-04,1.9463
2014-06-03,1.9629
2014-06-02,2.0109
2014-05-30,2.0352
2014-05-29,1.981
2014-05-28,2.0237
2014-05-27,2.0512
2014-05-23,2.0552
2014-05-22,2.0522
2014-05-21,2.0859
2014-05-20,2.07
2014-05-19,2.0871
2014-05-16,2.1854
2014-05-15,2.0618
2014-05-14,2.0931
2014-05-13,2.1074
2014-05-12,2.0712
2014-05-09,2.2002
2014-05-08,2.2524
2014-05-07,2.2608
2014-05-06,2.287
2014-05-02,2.2715
2014-05-01,2.2888
2014-04-30,2.316
2014-04-29,2.2507
2014-04-28,2.3322
2014-04-25,2.3426
2014-04-24,2.3426
2014-04-23,2.2943
2014-04-22,2.1828
2014-04-21,2.1177
2014-04-17,2.1177
2014-04-16,2.1941
2014-04-15,2.2962
2014-04-14,2.2675
2014-04-11,2.2925
2014-04-10,2.2036
2014-04-09,2.2036
2014-04-08,2.1663
2014-04-07,2.0846
2014-04-04,1.9822
2014-04-03,1.9606
2014-04-02,1.9904
2014-04-01,2.0166
2014-03-31,2.036
2014-03-28,1.9996
2014-03-27,1.9874
2014-03-26,1.987
2014-03-25,1.9928
2014-03-24,1.9125
2014-03-21,1.98
2014-03-20,2.0841
2014-03-19,2.1387
2014-03-18,2.1382
2014-03-17,2.2068
2014-03-14,2.2769
2014-03-13,2.2667
2014-03-12,2.272
2014-03-11,2.2479
2014-03-10,2.1847
2014-03-07,2.1639
2014-03-06,2.2078
2014-03-05,2.0673
2014-03-04,2.1234
2014-03-03,2.006
2014-02-28,1.9882
2014-02-27,1.9714
2014-02-26,1.9648
2014-02-25,1.9687
2014-02-24,1.8945
2014-02-21,1.8784
2014-02-20,1.8905
2014-02-19,1.7242
2014-02-18,1.5979
2014-02-14,1.5853
2014-02-13,1.5875
2014-02-12,1.5584
2014-02-11,1.5385
2014-02-10,1.5362
2014-02-07,1.5424
2014-02-06,1.5839
2014-02-05,1.5233
2014-02-04,1.5092
2014-02-03,1.4084
2014-01-31,1.3563
2014-01-30,1.3264
2014-01-29,1.3093
2014-01-28,1.3085
2014-01-27,1.3074
2014-01-24,1.3168
2014-01-23,1.3097
2014-01-22,1.3113
2014-01-21,1.3215
2014-01-17,1.3336
2014-01-16,1.3284
2014-01-15,1.3506
2014-01-14,1.3536
2014-01-13,1.3564
2014-01-10,1.3413
2014-01-09,1.3499
2014-01-08,1.3142
2014-01-07,1.3478
2014-01-06,1.3026
2014-01-02,1.268
2013-12-26,1.2872
2013-12-20,1.2872
2013-12-19,1.2993
2013-12-18,1.2829
2013-12-17,1.294
2013-12-16,1.2852
2013-12-13,1.2463
2013-12-12,1.2346
2013-12-11,1.2386
2013-12-10,1.1963
2013-12-09,1.2009
2013-12-06,1.1989
2013-12-05,1.228
2013-12-04,1.2434
2013-12-03,1.2462
2013-12-02,1.2536
2013-11-29,1.2319
2013-11-27,1.2406
2013-11-26,1.2345
2013-11-25,1.2329
2013-11-22,1.261
2013-11-21,1.2574
2013-11-20,1.2422
2013-11-19,1.2517
2013-11-18,1.2556
2013-11-15,1.2307
2013-11-14,1.2322
2013-11-13,1.2631
2013-11-12,1.251
2013-11-11,1.251
2013-11-08,1.2551
2013-11-07,1.234
2013-11-06,1.252
2013-11-05,1.2564
2013-11-04,1.2595
2013-11-01,1.2611
2013-10-31,1.2769
2013-10-30,1.2799
2013-10-29,1.2895
2013-10-28,1.3055
2013-10-25,1.3116
2013-10-24,1.3134
2013-10-23,1.3319
2013-10-22,1.3352
2013-10-21,1.3542
2013-10-18,1.3541
2013-10-17,1.3647
2013-10-16,1.3718
2013-10-15,1.3758
2013-10-14,1.3748
2013-10-11,1.3569
2013-10-10,1.3547
2013-10-09,1.3625
2013-10-08,1.357
2013-10-07,1.3651
2013-10-04,1.366
2013-10-03,1.3603
2013-10-02,1.3545
2013-10-01,1.3588
2013-09-30,1.3588
2013-09-27,1.3776
2013-09-26,1.3954
2013-09-25,1.3968
2013-09-24,1.389
2013-09-23,1.3665
2013-09-20,1.3742
2013-09-19,1.3709
2013-09-18,1.371
2013-09-17,1.4075
2013-09-16,1.4127
2013-09-13,1.4122
2013-09-12,1.4196
2013-09-11,1.3863
2013-09-10,1.3984
2013-09-09,1.396
2013-09-06,1.3783
2013-09-05,1.3815
2013-09-04,1.3855
2013-09-03,1.3699
2013-08-30,1.3881
2013-08-29,1.3995
2013-08-28,1.3835
2013-08-27,1.4002
2013-08-26,1.384
2013-08-23,1.384
2013-08-22,1.3988
2013-08-21,1.4121
2013-08-20,1.1877
2013-08-19,1.4614
2013-08-16,1.4727
2013-08-15,1.4798
2013-08-14,1.4535
2013-08-13,1.4905
2013-08-12,1.2221
2013-08-09,1.478
2013-08-08,1.4697
2013-08-07,1.4417
2013-08-06,1.4578
2013-08-05,1.4419
2013-08-02,1.4116
2013-08-01,1.4366
2013-07-31,1.4587
2013-07-30,1.4622
2013-07-29,1.4743
2013-07-26,1.487
2013-07-25,1.4626
2013-07-24,1.4995
2013-07-23,1.4951
2013-07-22,1.4842
2013-07-19,1.53
2013-07-18,1.5228
2013-07-17,1.497
2013-07-16,1.4769
2013-07-15,1.439
2013-07-12,1.4787
2013-07-11,1.1802
2013-07-10,1.4619
2013-07-09,1.4776
2013-07-08,1.4545
2013-07-05,1.4553
2013-07-03,1.4869
2013-07-02,1.4566
2013-07-01,1.4495
2013-06-28,1.4592
2013-06-27,1.4342
2013-06-26,1.4428
2013-06-25,1.4452
2013-06-24,1.438
2013-06-21,1.4284
2013-06-20,1.4757
2013-06-19,1.4638
2013-06-18,1.4637
2013-06-17,1.4646
2013-06-14,1.4763
2013-06-13,1.4704
2013-06-12,1.5089
2013-06-11,1.5138
2013-06-10,1.5087
2013-06-07,1.5236
