Date,Bid,Ask,Mid
2015-04-02,6001.0,6001.5,6001.25
2015-04-01,6019.0,6019.5,6019.25
2015-03-31,6050.0,6050.5,6050.25
2015-03-30,6109.5,6110.0,6109.75
2015-03-27,6145.0,6146.0,6145.5
2015-03-26,6229.0,6230.0,6229.5
2015-03-25,6134.0,6134.5,6134.25
2015-03-24,6126.0,6128.0,6127.0
2015-03-23,6093.0,6093.5,6093.25
2015-03-20,5919.0,5920.0,5919.5
2015-03-19,5834.5,5835.0,5834.75
2015-03-18,5692.0,5692.5,5692.25
2015-03-17,5764.5,5765.0,5764.75
2015-03-16,5852.5,5853.0,5852.75
2015-03-13,5858.0,5860.0,5859.0
2015-03-12,5865.0,5865.5,5865.25
2015-03-11,5785.5,5786.0,5785.75
2015-03-10,5783.0,5783.5,5783.25
2015-03-09,5799.5,5800.0,5799.75
2015-03-06,5826.0,5826.5,5826.25
2015-03-05,5855.5,5856.0,5855.75
2015-03-04,5881.0,5882.0,5881.5
2015-03-03,5854.0,5855.0,5854.5
2015-03-02,5895.0,5896.0,5895.5
2015-02-27,5880.0,5880.5,5880.25
2015-02-26,5935.0,5935.5,5935.25
2015-02-25,5804.5,5805.0,5804.75
2015-02-24,5710.0,5715.0,5712.5
2015-02-23,5656.5,5657.0,5656.75
2015-02-20,5706.0,5707.0,5706.5
2015-02-19,5719.0,5720.0,5719.5
2015-02-18,5689.0,5690.0,5689.5
2015-02-17,5665.0,5665.5,5665.25
2015-02-16,5711.0,5712.0,5711.5
2015-02-13,5730.0,5731.0,5730.5
2015-02-12,5694.5,5695.0,5694.75
2015-02-11,5645.0,5645.5,5645.25
2015-02-10,5590.0,5591.0,5590.5
2015-02-09,5665.0,5666.0,5665.5
2015-02-06,5691.0,5692.0,5691.5
2015-02-05,5594.5,5595.0,5594.75
2015-02-04,5707.0,5708.0,5707.5
2015-02-03,5690.0,5695.0,5692.5
2015-02-02,5535.0,5535.5,5535.25
2015-01-30,5500.0,5505.0,5502.5
2015-01-29,5390.0,5390.5,5390.25
2015-01-28,5485.0,5485.5,5485.25
