Date,Open,High,Low,Close,Volume
2015-04-02,2.11,2.11,2.11,2.11,0.0
2015-04-01,,,,2.12,0.0
2015-03-31,2.12,2.12,2.12,2.12,1000.0
2015-03-30,2.13,2.13,2.12,2.13,5161.0
2015-03-27,,,,2.12,0.0
2015-03-26,2.12,2.12,2.12,2.12,2100.0
2015-03-25,2.11,2.12,2.11,2.12,0.0
2015-03-24,2.14,2.14,2.14,2.14,0.0
2015-03-23,2.09,2.14,2.09,2.14,38136.0
2015-03-20,2.1,2.1,2.1,2.1,3000.0
2015-03-19,2.11,2.11,2.08,2.11,3346.0
2015-03-18,2.0,2.0,2.0,2.0,7000.0
2015-03-17,2.02,2.02,2.01,2.01,35300.0
2015-03-16,2.04,2.05,2.04,2.05,9300.0
2015-03-13,2.05,2.06,2.02,2.03,70140.0
2015-03-12,2.02,2.05,2.02,2.03,4600.0
2015-03-11,2.02,2.02,2.02,2.02,2936.0
2015-03-10,2.09,2.09,2.07,2.07,651.0
2015-03-09,2.09,2.1,2.09,2.09,2000.0
2015-03-06,2.1,2.1,2.1,2.1,3550.0
2015-03-05,2.11,2.13,2.11,2.13,2615.0
2015-03-04,2.11,2.11,2.11,2.11,2250.0
2015-03-03,2.15,2.16,2.15,2.15,22478.0
2015-03-02,2.17,2.17,2.16,2.17,5703.0
2015-02-27,2.18,2.19,2.16,2.16,48116.0
2015-02-26,2.18,2.18,2.18,2.18,2615.0
2015-02-25,2.18,2.18,2.16,2.18,13421.0
2015-02-24,,,,2.14,0.0
2015-02-23,2.15,2.15,2.14,2.14,2093.0
2015-02-20,2.16,2.16,2.16,2.16,0.0
2015-02-19,,,,2.14,0.0
2015-02-18,,,,2.14,0.0
2015-02-17,2.14,2.14,2.14,2.14,5900.0
2015-02-16,2.14,2.14,2.14,2.14,2500.0
2015-02-13,2.11,2.11,2.1,2.1,9300.0
2015-02-12,2.08,2.08,2.08,2.08,19010.0
2015-02-11,2.11,2.11,2.08,2.08,41841.0
2015-02-10,2.1,2.1,2.1,2.1,0.0
2015-02-09,2.06,2.07,2.05,2.07,622000.0
2015-02-06,2.07,2.07,2.04,2.04,41200.0
2015-02-05,2.05,2.05,2.04,2.05,21622.0
2015-02-04,2.08,2.08,2.06,2.06,24534.0
2015-02-03,2.01,2.01,2.01,2.01,0.0
2015-02-02,2.0,2.0,2.0,2.0,250.0
2015-01-30,1.99,1.99,1.99,1.99,800.0
2015-01-29,,,,2.0,0.0
2015-01-28,2.0,2.0,2.0,2.0,0.0
2015-01-27,1.99,1.99,1.99,1.99,0.0
2015-01-26,1.92,1.92,1.92,1.92,100000.0
2015-01-23,1.96,1.96,1.93,1.93,99328.0
2015-01-22,1.96,1.96,1.95,1.96,526610.0
2015-01-21,1.95,1.95,1.94,1.95,12000.0
2015-01-20,1.98,1.98,1.98,1.98,0.0
2015-01-19,1.96,1.96,1.96,1.96,0.0
2015-01-16,,,,1.98,0.0
2015-01-15,2.0,2.0,1.98,1.98,11280.0
2015-01-14,2.01,2.01,2.0,2.0,11500.0
2015-01-13,2.0,2.0,2.0,2.0,0.0
2015-01-12,2.0,2.0,2.0,2.0,15000.0
2015-01-09,2.02,2.02,2.02,2.02,0.0
2015-01-08,,,,2.02,0.0
2015-01-07,2.01,2.02,2.01,2.02,4250.0
2015-01-06,2.04,2.04,2.04,2.04,2000.0
2015-01-05,2.02,2.04,2.01,2.04,40253.0
2014-12-31,2.06,2.06,2.05,2.05,0.0
2014-12-30,2.08,2.08,2.08,2.08,28979.0
2014-12-29,2.04,2.04,2.04,2.04,10200.0
2014-12-24,2.07,2.07,2.07,2.07,4000.0
2014-12-23,,,,2.06,0.0
2014-12-22,2.06,2.06,2.06,2.06,250.0
2014-12-19,2.05,2.05,2.05,2.05,11960.0
2014-12-18,,,,2.0,0.0
2014-12-17,2.0,2.0,2.0,2.0,2000.0
2014-12-16,2.03,2.03,2.02,2.02,13500.0
2014-12-15,2.05,2.05,2.05,2.05,31900.0
2014-12-12,,,,2.02,0.0
2014-12-11,,,,2.02,0.0
2014-12-10,2.02,2.02,2.02,2.02,0.0
2014-12-09,,,,2.0,0.0
2014-12-08,2.0,2.02,2.0,2.0,6000.0
2014-12-05,2.04,2.04,2.04,2.04,4940.0
2014-12-04,,,,2.01,0.0
2014-12-03,2.01,2.01,2.01,2.01,94050.0
2014-12-02,2.0,2.01,2.0,2.01,105422.0
2014-12-01,2.01,2.01,1.98,2.0,46100.0
2014-11-28,2.02,2.02,2.02,2.02,484.0
2014-11-27,2.04,2.04,2.0,2.0,15320.0
2014-11-26,2.0,2.0,2.0,2.0,0.0
2014-11-25,1.97,1.97,1.97,1.97,2500.0
2014-11-24,2.0,2.0,1.98,1.98,100.0
2014-11-21,2.0,2.0,2.0,2.0,9600.0
2014-11-20,,,,1.98,0.0
2014-11-19,,,,1.98,0.0
2014-11-18,1.98,1.98,1.98,1.98,7000.0
2014-11-17,1.98,1.99,1.98,1.99,3300.0
2014-11-14,2.0,2.0,1.97,1.99,13521.0
2014-11-13,2.05,2.05,2.01,2.01,13004.0
2014-11-12,,,,2.07,0.0
2014-11-11,,,,2.07,0.0
2014-11-10,,,,2.07,0.0
2014-11-07,2.07,2.07,2.07,2.07,37100.0
2014-11-06,,,,2.06,0.0
2014-11-05,2.07,2.07,2.06,2.06,3676.0
2014-11-04,2.09,2.09,2.09,2.09,0.0
2014-11-03,2.09,2.12,2.09,2.12,8625.0
2014-10-31,2.1,2.11,2.1,2.1,821.0
2014-10-30,2.16,2.17,2.16,2.17,10590.0
2014-10-29,2.17,2.17,2.17,2.17,0.0
2014-10-28,,,,2.09,0.0
2014-10-27,2.09,2.09,2.09,2.09,32664.0
2014-10-24,2.08,2.08,2.07,2.07,5000.0
2014-10-23,,,,2.06,0.0
2014-10-22,2.06,2.06,2.06,2.06,0.0
2014-10-21,2.06,2.06,2.04,2.04,0.0
2014-10-20,,,,2.09,0.0
