Date,Value
2019-12-31,22.0,147.837
2018-12-31,21.0,157.726
2017-12-31,20.0,168.827
2016-12-31,19.0,196.547
2015-12-31,18.0,286.685
2014-12-31,17.0,416.253
2013-12-31,16.0,768.05
2012-12-31,16.0,163.15
2011-12-31,15.0,517.925
2010-12-31,14.0,964.4
2009-12-31,14.0,418.725
2008-12-31,14.0,718.575
2007-12-31,14.0,477.625
2006-12-31,13.0,855.9
2005-12-31,13.0,93.7
2004-12-31,12.0,274.925
2003-12-31,11.0,510.675
2002-12-31,10.0,977.525
2001-12-31,10.0,621.825
2000-12-31,10.0,284.75
1999-12-31,9.0,660.625
1998-12-31,9.0,89.15
1997-12-31,8.0,608.525
1996-12-31,8.0,100.175
1995-12-31,7.0,664.05
1994-12-31,7.0,308.775
1993-12-31,6.0,878.7
1992-12-31,6.0,539.3
1991-12-31,6.0,174.05
1990-12-31,5.0,979.575
1989-12-31,5.0,657.7
1988-12-31,5.0,252.625
1987-12-31,4.0,870.225
1986-12-31,4.0,590.125
1985-12-31,4.0,346.75
1984-12-31,4.0,40.7
1983-12-31,3.0,638.125
1982-12-31,3.0,345.0
1981-12-31,3.0,210.95
1980-12-31,2.0,862.475
