Date,Value
2019-12-31,67.0,348.001
2018-12-31,64.0,749.371
2017-12-31,62.0,118.415
2016-12-31,59.0,502.609
2015-12-31,57.0,45.456
2014-12-31,54.0,678.167
2013-12-31,53.0,0.972
2012-12-31,51.0,449.794
2011-12-31,49.0,746.28
2010-12-31,48.0,313.844
2009-12-31,46.0,909.422
2008-12-31,48.0,302.283
2007-12-31,47.0,954.532
2006-12-31,46.0,351.667
2005-12-31,44.0,218.306
2004-12-31,41.0,838.455
2003-12-31,39.0,591.865
2002-12-31,38.0,113.892
2001-12-31,37.0,241.347
2000-12-31,36.0,432.514
1999-12-31,34.0,601.722
1998-12-31,32.0,929.038
1997-12-31,31.0,553.622
1996-12-31,30.0,47.314
1995-12-31,28.0,762.676
1994-12-31,27.0,755.764
1993-12-31,26.0,441.648
1992-12-31,25.0,466.828
1991-12-31,24.0,365.623
1990-12-31,23.0,913.764
1989-12-31,22.0,879.184
1988-12-31,21.0,442.13
1987-12-31,20.0,62.657
1986-12-31,19.0,78.408
1985-12-31,18.0,231.826
1984-12-31,17.0,99.348
1983-12-31,15.0,531.182
1982-12-31,14.0,410.163
1981-12-31,13.0,965.773
1980-12-31,12.0,575.568
