Date,Open,High,Low,Close,Volume,Adjusted Close
2015-04-06,68.87,70.82,68.87,70.48,0.0,70.48
2015-04-02,68.45,69.17,67.31,67.96,0.0,67.96
2015-04-01,66.04,69.1,66.04,68.9,0.0,68.9
2015-03-31,66.36,66.79,65.1,65.5,0.0,65.5
2015-03-30,66.88,67.35,66.13,66.52,0.0,66.52
2015-03-27,68.1,68.67,66.75,67.73,0.0,67.73
2015-03-26,70.39,71.47,67.85,68.39,0.0,68.39
2015-03-25,71.1,71.44,69.43,69.49,0.0,69.49
2015-03-24,70.86,71.15,70.0,70.56,0.0,70.56
2015-03-23,69.58,70.99,69.58,70.81,0.0,70.81
2015-03-20,67.68,70.27,67.68,69.27,0.0,69.27
2015-03-19,67.34,67.83,66.15,67.23,0.0,67.23
2015-03-18,64.17,67.66,63.76,67.58,0.0,67.58
2015-03-17,64.89,65.89,64.18,64.39,0.0,64.39
2015-03-16,65.73,66.0,64.07,65.5,0.0,65.5
2015-03-13,65.55,65.68,63.55,65.58,0.0,65.58
2015-03-12,66.39,66.88,64.9,65.57,0.0,65.57
2015-03-11,63.83,66.1,62.48,65.97,0.0,65.97
2015-03-10,64.87,65.98,63.23,63.78,0.0,63.78
2015-03-09,67.94,67.96,64.99,65.23,0.0,65.23
2015-03-06,71.55,71.55,67.23,67.6,0.0,67.6
2015-03-05,72.94,73.75,72.09,72.53,0.0,72.53
2015-03-04,73.71,73.85,72.37,72.69,0.0,72.69
2015-03-03,75.41,76.26,73.57,73.81,0.0,73.81
2015-03-02,76.92,76.97,74.72,75.26,0.0,75.26
2015-02-27,76.1,77.63,76.1,76.94,0.0,76.94
2015-02-26,76.28,76.61,75.65,75.84,0.0,75.84
2015-02-25,74.69,75.7,74.43,75.4,0.0,75.4
2015-02-24,73.73,74.8,73.34,73.98,0.0,73.98
2015-02-23,73.77,75.13,73.23,74.23,0.0,74.23
2015-02-20,74.92,76.17,74.25,74.28,0.0,74.28
2015-02-19,76.52,76.71,74.42,74.68,0.0,74.68
2015-02-18,74.77,76.66,73.92,76.47,0.0,76.47
2015-02-17,76.49,76.49,74.63,74.8,0.0,74.8
2015-02-13,77.23,78.12,76.92,77.12,0.0,77.12
2015-02-12,75.81,76.93,75.48,76.48,0.0,76.48
2015-02-11,77.0,77.19,75.1,75.37,0.0,75.37
2015-02-10,77.38,77.48,76.08,76.88,0.0,76.88
2015-02-09,77.3,78.84,77.29,78.25,0.0,78.25
2015-02-06,79.75,79.76,76.66,76.92,0.0,76.92
2015-02-05,79.44,81.08,79.02,81.03,0.0,81.03
2015-02-04,79.65,80.7,78.66,80.02,0.0,80.02
2015-02-03,79.8,80.69,78.1,78.9,0.0,78.9
2015-02-02,77.3,79.78,76.25,79.4,0.0,79.4
2015-01-30,77.3,79.78,76.25,79.4,0.0,79.4
2015-01-29,77.71,77.71,75.35,77.13,0.0,77.13
2015-01-28,81.06,81.39,77.64,78.45,0.0,78.45
2015-01-27,79.91,82.19,79.81,81.92,0.0,81.92
2015-01-26,77.49,79.6,75.76,79.53,0.0,79.53
