Date,Value
2013-12-31,11484300000000.0
2012-12-31,11083100000000.0
2011-12-31,10689300000000.0
2010-12-31,10202200000000.0
2009-12-31,9847000000000.0
2008-12-31,10013600000000.0
2007-12-31,9750500000000.0
2006-12-31,9304000000000.0
2005-12-31,8794100000000.0
2004-12-31,8260000000000.0
2003-12-31,7765500000000.0
2002-12-31,7384100000000.0
2001-12-31,7103100000000.0
2000-12-31,6792400000000.0
1999-12-31,6307000000000.0
1998-12-31,5903000000000.0
1997-12-31,5560700000000.0
1996-12-31,5268100000000.0
1995-12-31,4984200000000.0
1994-12-31,4741000000000.0
1993-12-31,4471000000000.0
1992-12-31,4215700000000.0
1991-12-31,3960200000000.0
1990-12-31,3825600000000.0
1989-12-31,3592800000000.0
1988-12-31,3346900000000.0
1987-12-31,3092100000000.0
1986-12-31,2898400000000.0
1985-12-31,2722600000000.0
1984-12-31,2498100000000.0
1983-12-31,2286500000000.0
1982-12-31,2073900000000.0
1981-12-31,1937500000000.0
1980-12-31,1754600000000.0
