Date,Value
2014-12-31,2638563588333.9
2013-12-31,3054525731759.3
2012-12-31,2968981251420.6
2011-12-31,2860778979145.4
2010-12-31,2768397654705.1
2009-12-31,2620045702778.7
2008-12-31,2953231114757.4
2007-12-31,3056597340606.9
2006-12-31,2982134044493.7
2005-12-31,2918082283071.9
2004-12-31,2826538211586.5
2003-12-31,2761775791283.1
2002-12-31,2728063305631.3
2001-12-31,2722235138652.1
2000-12-31,2818710011080.8
1999-12-31,2709983787078.1
1998-12-31,2598627361063.8
1997-12-31,2456163434481.2
1996-12-31,2290886848363.5
1995-12-31,2193377572451.4
1994-12-31,2093973715621.1
1993-12-31,1988815050147.7
1992-12-31,1925854239260.1
1991-12-31,1873093293698.1
