Date,Value
2015-12-31,57750.0
2014-12-31,57750.0
2013-12-31,57750.0
2012-12-31,57750.0
2011-12-31,36625.0
2010-12-31,58350.0
2009-12-31,-154175.0
2008-12-31,-41100.0
2007-12-31,29125.0
2006-12-31,59950.0
2005-12-31,49950.0
2004-12-31,64925.0
2003-12-31,16374.0
2002-12-31,12025.0
2001-12-31,-38300.0
2000-12-31,54550.0
1999-12-31,60825.0
1998-12-31,63700.0
1997-12-31,71000.0
1996-12-31,30775.0
1995-12-31,31150.0
1994-12-31,63775.0
1993-12-31,20800.0
1992-12-31,16325.0
1991-12-31,-400.0
1990-12-31,14550.0
1989-12-31,27700.0
1988-12-31,18500.0
1987-12-31,27150.0
1986-12-31,6575.0
1985-12-31,21800.0
1984-12-31,65400.0
1983-12-31,-5775.0
1982-12-31,-14925.0
1981-12-31,29825.0
1980-12-31,-6325.0
1979-12-31,18000.0
1978-12-31,25825.0
1977-12-31,22325.0
1976-12-31,17100.0
1975-12-31,-6275.0
1974-12-31,13975.0
1973-12-31,15900.0
1972-12-31,9100.0
1971-12-31,8275.0
1970-12-31,2000.0
1969-12-31,9175.0
1968-12-31,9050.0
1967-12-31,9850.0
1966-12-31,13650.0
1965-12-31,9250.0
1964-12-31,4825.0
1963-12-31,5625.0
1962-12-31,6100.0
1961-12-31,3000.0
1960-12-31,3225.0
