Date,Value
2019-12-31,22.2
2018-12-31,22.064
2017-12-31,21.7
2016-12-31,21.148
2015-12-31,20.466
2014-12-31,19.754
2013-12-31,19.348
2012-12-31,19.17
2011-12-31,18.545
2010-12-31,18.394
2009-12-31,17.513
2008-12-31,20.786
2007-12-31,22.351
2006-12-31,23.333
2005-12-31,23.223
2004-12-31,22.527
2003-12-31,21.66
2002-12-31,21.576
2001-12-31,22.052
2000-12-31,23.569
1999-12-31,23.318
1998-12-31,22.848
1997-12-31,22.364
1996-12-31,21.629
1995-12-31,21.205
1994-12-31,21.216
1993-12-31,20.334
1992-12-31,20.02
1991-12-31,20.059
1990-12-31,21.47
1989-12-31,22.449
1988-12-31,22.757
1987-12-31,23.548
1986-12-31,23.686
1985-12-31,24.145
1984-12-31,25.077
1983-12-31,22.228
1982-12-31,22.063
1981-12-31,24.247
1980-12-31,23.267
