Date,Value
2013-12-31,2832556026412.6
2012-12-31,2580303830077.7
2011-12-31,2366374004049.2
2010-12-31,1754563491276.3
2009-12-31,1716610055524.7
2008-12-31,1443464897284.4
2007-12-31,1380379526482.2
2006-12-31,1379489380284.0
2005-12-31,1405051076739.4
2004-12-31,1404769853877.0
2003-12-31,1318722188582.5
2002-12-31,1224233720540.5
2001-12-31,1213522198181.1
2000-12-31,1211513000000.0
1999-12-31,1281511000000.0
1998-12-31,1187174000000.0
1997-12-31,1178595000000.0
1996-12-31,1172299000000.0
1995-12-31,1179213000000.0
1994-12-31,1206611000000.0
1993-12-31,1210250000000.0
1992-12-31,1104031000000.0
1991-12-31,985804000000.0
1990-12-31,907119000000.0
1989-12-31,863436000000.0
1988-12-31,855445000000.0
1987-12-31,815898000000.0
1986-12-31,814087000000.0
1985-12-31,691352000000.0
1984-12-31,609688000000.0
1983-12-31,562481000000.0
1982-12-31,522694000000.0
1981-12-31,484822000000.0
1980-12-31,464535000000.0
1979-12-31,446184000000.0
1978-12-31,408052000000.0
1977-12-31,369722000000.0
1976-12-31,335639000000.0
1975-12-31,323747000000.0
1974-12-31,302956000000.0
1973-12-31,297690000000.0
1972-12-31,280832000000.0
1971-12-31,257462000000.0
1970-12-31,241016000000.0
1969-12-31,226926000000.0
1968-12-31,219015000000.0
1967-12-31,202161000000.0
1966-12-31,187931000000.0
1965-12-31,184447000000.0
1964-12-31,177539000000.0
1963-12-31,168740000000.0
1962-12-31,161598000000.0
1961-12-31,158208000000.0
1960-12-31,152161000000.0
