Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2015-04-06,0.0,17.3,17.35,0.0,17.175,17.18,0.0,0.0,40.0
2015-04-02,0.0,17.3,17.9,0.0,17.8,0.1,0.0,0.0,40.0
2015-04-01,0.0,18.0,17.95,0.0,17.7,-0.25,0.0,0.0,40.0
2015-03-31,0.0,17.35,17.65,0.0,17.95,0.65,0.0,0.0,40.0
2015-03-30,0.0,17.1,17.5,0.0,17.3,-0.5,0.0,0.0,40.0
2015-03-27,0.0,17.4,17.95,0.0,17.8,-0.3,0.0,0.0,40.0
2015-03-26,0.0,18.2,18.2,0.0,18.1,0.12,0.0,0.0,40.0
2015-03-25,0.0,17.35,17.0,0.0,17.975,1.12,0.0,0.0,40.0
2015-03-24,0.0,16.5,16.7,0.0,16.85,-0.1,0.0,0.0,40.0
2015-03-23,0.0,16.6,17.15,0.0,16.95,-0.22,0.0,0.0,40.0
2015-03-20,0.0,17.0,17.15,0.0,17.175,-0.12,0.0,0.0,40.0
2015-03-19,0.0,17.25,17.65,0.0,17.3,-0.2,0.0,0.0,40.0
2015-03-18,0.0,17.95,17.8,0.0,17.5,-0.5,0.0,0.0,40.0
2015-03-17,0.0,17.25,17.05,0.0,16.7,-0.85,0.0,0.0,91.0
2015-03-16,17.2,17.2,17.2,17.2,17.55,-0.48,5.0,0.0,91.0
2015-03-13,0.0,17.8,17.4,0.0,18.025,0.88,0.0,0.0,91.0
2015-03-12,0.0,17.65,17.25,0.0,17.15,-1.45,0.0,0.0,91.0
2015-03-11,18.05,18.25,18.05,18.05,18.6,0.75,3.0,0.0,91.0
2015-03-10,17.5,17.85,17.5,17.85,17.85,1.22,10.0,0.0,94.0
2015-03-09,16.95,16.95,16.8,16.95,16.625,-0.35,5.0,0.0,104.0
2015-03-06,16.05,16.7,16.05,16.05,16.975,0.9,10.0,0.0,109.0
2015-03-05,0.0,16.15,16.35,0.0,16.075,-0.3,0.0,0.0,119.0
