Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2015-04-06,125.0,125.0,119.65,121.9,,123.14,19.0,1031.0,,,
2015-04-02,124.0,125.85,124.0,125.45,0.45,125.43,23.0,1028.0,,,
2015-04-01,124.1,124.1,123.35,125.0,-0.4,123.69,19.0,1016.0,,,
2015-03-31,126.5,126.5,124.1,125.4,-2.95,124.41,22.0,1024.0,,,
2015-03-30,127.9,128.4,127.9,128.35,1.85,128.19,37.0,1013.0,,,
2015-03-27,126.6,126.6,126.55,126.5,-0.6,126.58,5.0,1013.0,,,
2015-03-26,126.7,128.0,126.5,127.1,-0.55,127.14,17.0,1011.0,,,
2015-03-25,126.7,127.8,126.35,127.65,1.05,127.22,32.0,1006.0,,,
2015-03-24,125.95,127.9,125.85,126.6,2.15,126.84,55.0,994.0,,,
2015-03-23,117.45,124.45,117.45,124.45,8.45,122.67,53.0,982.0,,,
2015-03-20,108.95,116.2,108.95,116.0,7.1,110.64,38.0,980.0,,,
2015-03-19,115.55,115.55,109.2,108.9,-6.65,112.24,133.0,972.0,,,
2015-03-18,116.1,116.25,113.6,115.55,0.05,115.26,40.0,967.0,,,
2015-03-17,119.6,119.6,115.15,115.5,-2.95,116.01,26.0,960.0,,,
2015-03-16,118.75,119.0,116.05,118.45,1.5,118.03,21.0,951.0,,,
2015-03-13,116.25,118.1,115.9,116.95,-0.1,116.51,55.0,938.0,,,
2015-03-12,121.5,121.5,116.25,117.05,-3.75,117.97,22.0,931.0,,,
2015-03-11,121.9,122.25,120.65,120.8,-0.5,121.88,27.0,931.0,,,
2015-03-10,120.45,120.45,118.0,119.85,-1.85,119.43,114.0,1262.0,,,
2015-03-09,118.0,121.25,118.0,121.7,4.3,119.39,82.0,1232.0,,,
2015-03-06,120.45,121.05,117.2,117.4,-2.9,118.62,163.0,1127.0,,,
2015-03-05,117.95,120.55,115.0,120.3,0.75,117.58,115.0,1116.0,,,
2015-03-04,118.7,120.0,112.55,119.55,0.85,115.37,402.0,1133.0,,,
2015-03-03,126.75,126.75,118.45,118.7,-9.25,122.86,312.0,1137.0,,,
2015-03-02,122.65,128.1,122.65,127.95,5.3,125.96,98.0,1132.0,,,
2015-02-27,123.25,125.0,122.5,122.65,-0.85,123.0,107.0,1096.0,,,
2015-02-26,125.5,125.9,122.8,123.5,-1.6,123.87,134.0,1001.0,,,
2015-02-25,126.35,127.55,124.85,125.1,-0.3,126.23,135.0,930.0,,,
2015-02-24,126.8,126.8,124.0,125.4,-1.45,125.46,313.0,789.0,20.0,,
2015-02-23,130.2,130.2,127.05,126.85,-4.65,128.61,101.0,763.0,,,
2015-02-20,132.0,132.6,130.9,131.5,-0.65,131.54,64.0,730.0,,,
2015-02-19,132.5,133.6,131.4,132.15,-1.45,132.4,59.0,709.0,,,
2015-02-18,135.0,136.35,133.1,133.6,-3.3,134.57,62.0,666.0,,,
2015-02-17,135.0,136.75,135.0,136.9,,136.48,15.0,661.0,,,
2015-02-13,137.6,137.6,136.95,137.4,1.8,137.36,5.0,661.0,,,
