Date,Value
2019-12-31,19.435
2018-12-31,19.259
2017-12-31,18.888
2016-12-31,18.405
2015-12-31,17.84
2014-12-31,17.28
2013-12-31,16.961
2012-12-31,16.32
2011-12-31,15.695
2010-12-31,15.072
2009-12-31,14.374
2008-12-31,15.449
2007-12-31,17.274
2006-12-31,19.098
2005-12-31,17.821
2004-12-31,17.493
2003-12-31,17.291
2002-12-31,18.132
2001-12-31,19.472
2000-12-31,20.606
1999-12-31,20.735
1998-12-31,21.26
1997-12-31,20.718
1996-12-31,19.522
1995-12-31,18.652
1994-12-31,17.775
1993-12-31,16.978
1992-12-31,17.627
1991-12-31,18.755
1990-12-31,18.69
1989-12-31,19.683
1988-12-31,20.564
1987-12-31,19.551
1986-12-31,18.906
1985-12-31,20.336
1984-12-31,21.892
1983-12-31,19.776
1982-12-31,21.762
1981-12-31,23.21
1980-12-31,22.031
