Date,Open,High,Low,Close,Volume
2015-04-02,,,,22.06,0.0
2015-04-01,22.06,22.06,22.06,22.06,1.0
2015-03-31,21.8,21.8,21.8,21.8,1000.0
2015-03-30,,,,22.16,0.0
2015-03-27,,,,22.16,0.0
2015-03-26,,,,22.16,0.0
2015-03-25,22.15,22.16,22.15,22.16,24250.0
2015-03-24,,,,22.2,0.0
2015-03-23,22.2,22.2,22.2,22.2,100.0
2015-03-20,,,,21.7,0.0
2015-03-19,21.69,21.7,21.69,21.7,691.0
2015-03-18,21.62,21.62,21.52,21.54,11793.0
2015-03-17,21.62,21.62,21.62,21.62,0.0
2015-03-16,,,,22.0,0.0
2015-03-13,22.22,22.22,21.98,22.0,2849.0
2015-03-12,22.3,22.47,22.3,22.3,1777.0
2015-03-11,22.36,22.36,22.36,22.36,900.0
2015-03-10,22.46,22.46,22.46,22.46,0.0
2015-03-09,22.3,22.33,22.26,22.26,2000.0
2015-03-06,,,,22.88,0.0
2015-03-05,,,,22.88,0.0
2015-03-04,,,,22.88,0.0
2015-03-03,22.94,22.94,22.88,22.88,154.0
2015-03-02,23.49,23.5,23.49,23.5,334.0
2015-02-27,23.1,23.1,23.1,23.1,1.0
2015-02-26,22.84,22.84,22.84,22.84,1.0
2015-02-25,22.85,22.85,22.85,22.85,50.0
2015-02-24,,,,22.66,0.0
2015-02-23,22.6,22.66,22.6,22.66,3000.0
2015-02-20,,,,22.92,0.0
2015-02-19,,,,22.92,0.0
2015-02-18,22.87,22.92,22.87,22.92,4520.0
2015-02-17,22.66,22.66,22.66,22.66,0.0
2015-02-16,,,,22.06,0.0
2015-02-13,,,,22.06,0.0
2015-02-12,22.12,22.12,22.06,22.06,2400.0
2015-02-11,21.94,21.94,21.94,21.94,2076.0
2015-02-10,22.1,22.1,22.1,22.1,1300.0
2015-02-09,22.02,22.27,21.73,22.07,52000.0
2015-02-06,22.26,22.36,22.26,22.36,0.0
2015-02-05,22.16,22.16,22.16,22.16,0.0
2015-02-04,22.27,22.27,22.21,22.21,5015.0
2015-02-03,21.92,21.92,21.92,21.92,587.0
2015-02-02,21.74,21.9,21.68,21.9,10650.0
2015-01-30,21.68,21.73,21.68,21.68,963.0
2015-01-29,22.29,22.29,22.09,22.09,1.0
2015-01-28,22.1,22.1,22.08,22.08,0.0
2015-01-27,22.25,22.25,22.25,22.25,6730.0
2015-01-26,21.98,22.16,21.91,22.14,19100.0
2015-01-23,,,,22.21,0.0
2015-01-22,22.38,22.42,22.21,22.21,454.0
2015-01-21,22.19,22.34,22.19,22.19,634.0
2015-01-20,22.04,22.04,22.04,22.04,0.0
2015-01-19,22.33,22.33,22.33,22.33,145.0
2015-01-16,22.52,22.52,22.52,22.52,1060.0
2015-01-15,23.04,23.04,23.04,23.04,1240.0
2015-01-14,22.62,22.62,22.62,22.62,0.0
2015-01-13,23.12,23.4,23.12,23.4,50.0
2015-01-12,,,,23.76,0.0
2015-01-09,23.76,23.76,23.76,23.76,0.0
2015-01-08,24.05,24.4,23.79,23.89,6000.0
2015-01-07,,,,23.7,0.0
2015-01-06,23.6,23.7,23.6,23.7,525.0
2015-01-05,22.96,23.01,22.96,23.01,0.0
2014-12-31,,,,23.88,0.0
2014-12-30,23.88,24.1,23.88,23.88,299.0
