Date,Value
2015-04-03,300.0
2015-04-02,300.0
2015-03-27,296.5
2015-03-26,300.5
2015-03-25,298.25
2015-03-23,304.25
2015-03-19,306.25
2015-03-18,308.25
2015-03-17,306.25
2015-03-12,313.5
2015-03-11,309.0
2015-03-10,310.75
2015-03-04,323.0
2015-03-03,323.0
2015-03-02,329.5
2015-02-26,333.25
2015-02-24,341.75
2015-02-23,342.0
2015-02-20,350.25
2015-02-18,357.75
2015-02-13,355.25
2015-02-12,347.5
2015-02-10,355.5
2015-02-06,349.5
2015-02-04,346.0
2015-02-02,348.25
2015-01-29,357.75
2015-01-28,360.5
2015-01-27,359.5
2015-01-26,360.5
2015-01-23,373.5
2015-01-22,373.25
2015-01-21,376.0
2015-01-20,366.25
2015-01-16,363.25
2015-01-15,357.25
2015-01-14,355.0
2015-01-13,349.0
2015-01-12,349.5
2015-01-05,331.25
2014-12-30,338.75
2014-12-29,344.0
2014-12-24,343.5
2014-12-16,345.75
2014-12-15,350.25
2014-12-12,350.75
2014-12-11,353.0
2014-12-10,354.75
2014-12-09,348.25
2014-12-08,345.5
2014-12-05,345.5
2014-12-04,345.5
2014-12-03,345.5
2014-12-01,351.75
2014-11-26,363.0
2014-11-25,367.5
2014-11-24,364.25
2014-11-21,359.0
2014-11-20,359.0
2014-11-19,354.25
2014-11-17,358.5
2014-11-12,350.5
2014-11-11,350.5
2014-11-07,349.25
2014-11-04,355.5
2014-11-03,355.75
2014-10-31,366.5
2014-10-30,363.0
2014-10-29,365.5
2014-10-28,357.75
2014-10-27,359.25
2014-10-24,370.5
2014-10-23,370.5
2014-10-22,372.75
2014-10-21,370.75
2014-10-20,378.5
2014-10-17,373.0
2014-10-15,379.0
2014-10-14,375.25
2014-10-13,367.25
2014-10-10,365.5
2014-10-09,377.25
2014-10-08,377.25
2014-10-07,381.75
2014-04-17,402.5
2014-04-16,402.25
2014-04-15,399.5
2014-04-14,406.25
2014-04-10,409.25
2014-04-09,413.25
2014-04-08,404.75
2014-04-07,409.75
2014-04-04,415.0
2014-04-03,410.75
2014-04-02,412.5
2014-04-01,424.25
2014-03-31,430.0
2014-03-28,426.25
2014-03-27,426.25
2014-03-26,414.5
2014-03-25,407.0
2014-03-24,403.75
2014-03-21,405.0
2014-03-19,411.75
2014-03-14,417.75
2014-03-13,421.0
2014-03-12,425.25
2014-03-11,430.75
2014-03-10,433.0
2014-03-07,433.0
2014-03-06,432.25
2014-03-05,422.25
2014-03-04,418.75
2014-03-03,419.75
2014-02-28,411.5
2014-02-27,414.25
2014-02-26,418.75
2014-02-25,418.75
2014-02-24,412.0
2014-02-21,398.25
2014-02-20,394.75
2014-02-19,390.5
2014-02-18,385.5
2014-02-14,377.75
2014-02-13,380.25
2014-02-12,376.25
2014-02-11,372.0
2014-02-10,369.75
2014-02-07,374.75
2014-02-06,384.25
2014-02-05,384.5
2014-02-04,376.5
2014-02-03,359.0
2014-01-31,359.0
2014-01-30,355.25
2014-01-29,357.75
2014-01-28,354.25
2014-01-27,359.75
2014-01-24,361.75
2014-01-23,361.75
2014-01-22,365.5
2014-01-21,366.0
2014-01-17,370.5
2014-01-16,366.25
2014-01-15,373.0
2014-01-14,375.5
2014-01-13,374.25
2014-01-10,367.75
2014-01-09,380.5
2014-01-08,382.25
2014-01-07,384.75
2014-01-06,382.25
2014-01-03,389.5
2014-01-02,394.25
2013-12-31,394.25
2013-12-30,394.25
2013-12-27,389.25
2013-12-23,390.75
2013-12-20,391.25
2013-12-19,385.0
2013-12-18,384.0
2013-12-17,390.5
2013-12-16,390.75
2013-12-13,386.75
2013-12-12,392.5
2013-12-11,386.75
2013-12-10,383.75
2013-12-09,389.5
2013-12-06,385.25
2013-12-05,382.0
2013-12-04,387.25
2013-12-03,387.0
2013-12-02,393.0
2013-11-29,394.25
2013-11-27,398.25
2013-11-26,395.0
2013-11-25,396.75
2013-11-22,396.5
2013-11-21,400.0
2013-11-20,401.75
2013-11-19,405.0
2013-11-18,405.0
2013-11-15,401.75
2013-11-14,404.0
2013-11-13,410.75
2013-11-12,412.5
2013-11-11,412.0
2013-11-08,410.75
2013-11-07,409.0
2013-11-06,414.5
2013-11-05,417.0
2013-11-04,414.25
2013-11-01,415.75
2013-10-31,416.5
2013-10-30,421.75
2013-10-29,429.75
2013-10-28,438.0
2013-10-25,433.5
2013-10-24,439.75
2013-10-23,446.5
2013-10-22,445.75
2013-10-21,445.75
2013-10-18,430.25
2013-10-17,428.75
2013-10-16,424.5
2013-10-15,434.0
2013-10-14,429.75
2013-10-11,425.25
2013-10-10,420.5
2013-10-09,419.5
2013-10-08,425.25
2013-10-07,425.25
2013-10-04,425.5
2013-10-03,424.75
2013-10-02,424.25
2013-10-01,427.5
2013-09-30,403.25
2013-09-27,409.75
2013-09-26,412.0
2013-09-25,412.0
2013-09-24,411.5
2013-09-23,405.75
2013-09-20,416.75
2013-09-19,410.0
2013-09-18,410.0
2013-09-17,405.5
2013-09-16,405.5
2013-09-13,409.25
2013-09-12,419.0
2013-09-11,419.25
2013-09-10,406.75
2013-09-09,402.25
2013-09-06,401.25
2013-09-05,395.0
2013-09-04,407.25
2013-09-03,404.75
2013-08-30,408.0
2013-08-29,408.0
2013-08-28,398.75
2013-08-27,395.25
2013-08-26,395.25
2013-08-23,395.25
2013-08-22,396.5
2013-08-21,396.5
2013-08-20,397.25
2013-08-19,402.5
2013-08-16,414.25
2013-08-15,414.25
2013-08-14,414.5
2013-08-13,415.25
2013-08-12,413.5
2013-08-09,406.5
2013-08-08,406.5
2013-08-07,401.75
2013-08-06,407.25
2013-08-05,407.25
2013-08-02,407.25
2013-08-01,408.75
2013-07-31,408.75
2013-07-30,409.25
2013-07-29,397.25
2013-07-26,404.5
2013-07-25,393.0
2013-07-24,391.75
2013-07-23,394.0
2013-07-22,394.25
2013-07-19,390.75
2013-07-18,388.5
2013-07-17,383.75
2013-07-16,387.0
2013-07-15,387.0
2013-07-12,390.25
2013-07-11,392.25
2013-07-10,394.0
2013-07-09,395.75
2013-07-08,393.5
