Date,Value
2019-12-31,-272.357
2018-12-31,-259.619
2017-12-31,-302.04
2016-12-31,-386.22
2015-12-31,-405.203
2014-12-31,-586.104
2013-12-31,-607.236
2012-12-31,-1.0,22.657
2011-12-31,-1.0,182.383
2010-12-31,-1.0,381.167
2009-12-31,-1.0,669.565
2008-12-31,-730.209
2007-12-31,-158.688
2006-12-31,-53.232
2005-12-31,-187.953
2004-12-31,-327.619
2003-12-31,-352.056
2002-12-31,-214.143
2001-12-31,155.705
2000-12-31,397.9
1999-12-31,322.6
1998-12-31,302.0
1997-12-31,200.325
1996-12-31,91.7
1995-12-31,21.675
1994-12-31,-20.325
1993-12-31,-103.4
1992-12-31,-140.625
1991-12-31,-75.375
1990-12-31,-42.8
1989-12-31,4.425
1988-12-31,-20.4
1987-12-31,-50.225
1986-12-31,-98.15
1985-12-31,-76.1
1984-12-31,-63.3
1983-12-31,-96.025
1982-12-31,-65.875
1981-12-31,8.9
1980-12-31,-11.375
