Date,Value
2019-12-31,5.237
2018-12-31,5.227
2017-12-31,5.543
2016-12-31,5.751
2015-12-31,5.945
2014-12-31,6.292
2013-12-31,7.35
2012-12-31,8.075
2011-12-31,8.933
2010-12-31,9.625
2009-12-31,9.283
2008-12-31,5.8
2007-12-31,4.617
2006-12-31,4.608
2005-12-31,5.083
2004-12-31,5.542
2003-12-31,5.992
2002-12-31,5.783
2001-12-31,4.742
2000-12-31,3.967
1999-12-31,4.217
1998-12-31,4.5
1997-12-31,4.942
1996-12-31,5.408
1995-12-31,5.592
1994-12-31,6.1
1993-12-31,6.908
1992-12-31,7.492
1991-12-31,6.85
1990-12-31,5.617
1989-12-31,5.258
1988-12-31,5.492
1987-12-31,6.175
1986-12-31,7.0
1985-12-31,7.192
1984-12-31,7.508
1983-12-31,9.6
1982-12-31,9.708
1981-12-31,7.617
1980-12-31,7.175
