Date,WHOLESALEPRFINISHEDGDS,PPICAPITALEQUIPMENT,PPIWPI,INDUSTRIALGOODSINDEXNUMBER,CONSUMERFINISHEDGOODSINDEXNUMBER
12/31/2009,110.837,108.389,109.869,109.154,111.675
12/31/2008,113.764,106.326,120.452,120.015,116.101
12/31/2007,106.978,103.348,109.694,109.31,108.113
12/31/2006,102.975,101.533,104.67,105.352,103.443
12/31/2005,100,100,100,100,100
12/31/2004,95.3602,97.7875,93.1809,92.1044,94.531
12/31/2003,92.0261,96.445,87.7541,86.8407,90.5318
12/31/2002,89.1737,96.2088,83.3016,82.6537,86.8547
12/31/2001,90.3671,96.6064,85.2552,84.6978,88.1843
12/31/2000,88.6278,96.0071,84.3234,84.1153,86.1276
12/31/1999,85.4383,95.1717,79.7173,78.9452,82.2894
12/31/1998,83.9131,95.1083,79.0555,77.8789,80.3469
12/31/1997,84.6409,95.5808,81.0673,79.7098,81.152
12/31/1996,84.3145,95.6211,81.1203,79.4497,80.7261
12/31/1995,82.1578,94.5379,79.262,78.3418,78.2954
12/31/1994,80.6112,92.7172,76.5248,75.3251,76.8204
12/31/1993,80.0974,90.8389,75.5453,74.29,76.6698
12/31/1992,79.1181,89.2832,74.4547,73.2966,75.8284
12/31/1991,78.128,87.5202,74.0152,72.6984,75.1065
12/31/1990,76.4904,84.9159,73.8511,72.2303,73.6626
12/31/1989,72.9209,82.1272,71.3098,69.6505,69.8816
12/31/1988,69.3567,79.0562,67.9426,66.3216,66.1992
12/31/1987,67.6603,77.2183,65.3166,64.0227,64.558
12/31/1986,66.2903,75.8182,63.6383,62.3843,63.2076
12/31/1985,67.2107,74.3547,65.5337,64.7301,64.7346
12/31/1984,66.5953,72.7357,65.8502,64.4752,64.3814
12/31/1983,65.2467,71.0763,64.3169,63.102,63.1349
12/31/1982,64.2192,69.1404,63.5175,62.4155,62.3247
12/31/1981,61.7441,65.3998,62.2654,60.775,60.1823
12/31/1980,56.5079,59.3271,57.0552,54.9094,55.2155
12/31/1979,49.8072,53.574,49.9934,47.2567,48.3337
12/31/1978,44.8303,49.2932,44.4225,41.8474,43.2245
12/31/1977,41.5752,45.6867,41.2179,38.9928,40.0877
12/31/1976,39.0296,42.9029,38.8356,36.4514,37.6329
12/31/1975,37.3992,40.2161,37.1113,34.278,36.2854
12/31/1974,33.7533,34.8795,33.9703,30.7373,33.1153
12/31/1973,29.2665,30.5471,28.5922,25.158,28.6586
12/31/1972,26.8162,29.5656,25.2708,23.5592,25.8526
12/31/1971,26.0096,28.8583,24.2026,22.8081,25.0338
12/31/1970,25.2392,27.718,23.4227,21.9737,24.3757
12/31/1969,24.3925,26.4581,22.6056,21.181,23.6493
12/31/1968,23.5325,25.6085,21.755,20.5015,22.7879
12/31/1967,22.8785,24.7487,21.2244,19.9885,22.1816
12/31/1966,22.6077,23.9465,21.1713,19.6954,22.054
12/31/1965,21.9041,23.3712,20.4975,19.2674,21.3165
12/31/1964,21.5342,23.0867,20.0978,19.0259,20.9172
12/31/1963,21.4522,22.8557,20.0571,18.926,20.884
12/31/1962,21.5189,22.8103,20.1102,18.946,20.9801
12/31/1961,21.4426,22.7279,20.0624,18.946,20.9228
12/31/1960,21.4522,22.6784,20.1332,19.029,20.9561
12/31/1959,21.2844,22.6371,20.1137,19.029,20.7564
12/31/1958,21.3244,22.2062,20.0731,18.697,20.9394
12/31/1957,20.8534,21.6638,19.8095,18.6391,20.4958
12/31/1956,20.1136,20.3895,19.2412,18.1303,19.9191
12/31/1955,19.5644,18.9791,18.6411,17.36,19.6307
12/31/1954,19.5186,18.4347,18.5811,16.9842,19.7638
12/31/1953,19.4728,18.212,18.5411,16.9279,19.786
12/31/1952,19.6788,17.915,18.8011,16.7963,20.1187
12/31/1951,19.7932,17.6181,19.3412,17.1909,20.3627
12/31/1950,18.077,16.0592,17.3611,15.5751,18.6104
12/31/1949,17.7567,15.688,16.701,15.0303,18.2998
12/31/1948,18.283,14.9482,17.5811,15.3497,19.1871
