Date,Value
2019-12-31,328.857
2018-12-31,326.763
2017-12-31,324.684
2016-12-31,322.617
2015-12-31,320.563
2014-12-31,318.523
2013-12-31,316.373
2012-12-31,314.154
2011-12-31,311.941
2010-12-31,309.733
2009-12-31,307.374
2008-12-31,304.718
2007-12-31,301.903
2006-12-31,298.93
2005-12-31,296.115
2004-12-31,293.389
2003-12-31,290.733
2002-12-31,288.019
2001-12-31,285.216
2000-12-31,282.296
1999-12-31,279.195
1998-12-31,276.022
1997-12-31,272.822
1996-12-31,269.581
1995-12-31,266.458
1994-12-31,263.325
1993-12-31,260.146
1992-12-31,256.777
1991-12-31,253.392
1990-12-31,250.047
1989-12-31,247.286
1988-12-31,244.968
1987-12-31,242.751
1986-12-31,240.593
1985-12-31,238.416
1984-12-31,236.307
1983-12-31,234.247
1982-12-31,232.128
1981-12-31,229.916
1980-12-31,227.622
