Date,Close
4/2/2015,2.11
4/1/2015,2.12
3/31/2015,2.12
3/30/2015,2.13
3/27/2015,2.12
3/26/2015,2.12
3/25/2015,2.12
3/24/2015,2.14
3/23/2015,2.14
3/20/2015,2.1
3/19/2015,2.11
3/18/2015,2
3/17/2015,2.01
3/16/2015,2.05
3/13/2015,2.03
3/12/2015,2.03
3/11/2015,2.02
3/10/2015,2.07
3/9/2015,2.09
3/6/2015,2.1
3/5/2015,2.13
3/4/2015,2.11
3/3/2015,2.15
3/2/2015,2.17
2/27/2015,2.16
2/26/2015,2.18
2/25/2015,2.18
2/24/2015,2.14
2/23/2015,2.14
2/20/2015,2.16
2/19/2015,2.14
2/18/2015,2.14
2/17/2015,2.14
2/16/2015,2.14
2/13/2015,2.1
2/12/2015,2.08
2/11/2015,2.08
2/10/2015,2.1
2/9/2015,2.07
2/6/2015,2.04
2/5/2015,2.05
2/4/2015,2.06
2/3/2015,2.01
2/2/2015,2
1/30/2015,1.99
1/29/2015,2
1/28/2015,2
1/27/2015,1.99
1/26/2015,1.92
1/23/2015,1.93
1/22/2015,1.96
1/21/2015,1.95
1/20/2015,1.98
1/19/2015,1.96
1/16/2015,1.98
1/15/2015,1.98
1/14/2015,2
1/13/2015,2
1/12/2015,2
1/9/2015,2.02
1/8/2015,2.02
1/7/2015,2.02
1/6/2015,2.04
1/5/2015,2.04
12/31/2014,2.05
12/30/2014,2.08
12/29/2014,2.04
12/24/2014,2.07
12/23/2014,2.06
12/22/2014,2.06
12/19/2014,2.05
12/18/2014,2
12/17/2014,2
12/16/2014,2.02
12/15/2014,2.05
12/12/2014,2.02
12/11/2014,2.02
12/10/2014,2.02
12/9/2014,2
12/8/2014,2
12/5/2014,2.04
12/4/2014,2.01
12/3/2014,2.01
12/2/2014,2.01
12/1/2014,2
11/28/2014,2.02
11/27/2014,2
11/26/2014,2
11/25/2014,1.97
11/24/2014,1.98
11/21/2014,2
11/20/2014,1.98
11/19/2014,1.98
11/18/2014,1.98
11/17/2014,1.99
11/14/2014,1.99
11/13/2014,2.01
11/12/2014,2.07
11/11/2014,2.07
11/10/2014,2.07
11/7/2014,2.07
11/6/2014,2.06
11/5/2014,2.06
11/4/2014,2.09
11/3/2014,2.12
10/31/2014,2.1
10/30/2014,2.17
10/29/2014,2.17
10/28/2014,2.09
10/27/2014,2.09
10/24/2014,2.07
10/23/2014,2.06
10/22/2014,2.06
10/21/2014,2.04
10/20/2014,2.09
10/17/2014,2.09
10/16/2014,2.09
10/15/2014,2.09
10/14/2014,2.14
10/13/2014,2.14
10/10/2014,2.14
10/9/2014,2.14
10/8/2014,2.14
10/7/2014,2.08
10/6/2014,2.08
10/3/2014,2.02
10/2/2014,2.04
10/1/2014,2.02
9/30/2014,2.01
9/29/2014,2.06
9/26/2014,2.03
9/25/2014,2.03
9/24/2014,2.03
9/23/2014,2.07
9/22/2014,2.13
9/19/2014,2.13
9/18/2014,2.14
9/17/2014,2.16
9/16/2014,2.17
9/15/2014,2.19
9/12/2014,2.23
9/11/2014,2.21
9/10/2014,2.16
9/9/2014,2.12
9/8/2014,2.12
9/5/2014,2.13
9/4/2014,2.18
9/3/2014,2.17
9/2/2014,2.17
9/1/2014,2.17
8/29/2014,2.17
8/28/2014,2.21
8/27/2014,2.21
8/26/2014,2.18
8/22/2014,2.2
8/21/2014,2.2
8/20/2014,2.13
8/19/2014,2.11
8/18/2014,2.11
8/15/2014,2.12
8/14/2014,2.12
8/13/2014,2.12
8/12/2014,2.13
8/11/2014,2.12
8/8/2014,2.12
8/7/2014,2.11
8/6/2014,2.11
8/5/2014,2.11
8/4/2014,2.11
8/1/2014,2.04
7/31/2014,2.09
7/30/2014,2.16
7/29/2014,2.16
7/28/2014,2.17
7/25/2014,2.16
