Date,Open,High,Low,Close,Volume,AdjustedClose
2/5/2015,67.53,68.67,67.05,67.68,0,67.68
2/4/2015,67.53,68.67,67.05,67.68,0,67.68
2/3/2015,67.53,68.67,67.05,67.68,0,67.68
2/2/2015,67.53,68.67,67.05,67.68,0,67.68
1/30/2015,67.53,68.67,67.05,67.68,0,67.68
1/29/2015,67.53,68.67,67.05,67.68,0,67.68
1/28/2015,67.53,68.67,67.05,67.68,0,67.68
1/27/2015,67.53,68.67,67.05,67.68,0,67.68
1/26/2015,67.53,68.67,67.05,67.68,0,67.68
1/23/2015,67.53,68.67,67.05,67.68,0,67.68
1/22/2015,67.53,68.67,67.05,67.68,0,67.68
1/21/2015,67.53,68.67,67.05,67.68,0,67.68
1/20/2015,67.53,68.67,67.05,67.68,0,67.68
1/16/2015,67.53,68.67,67.05,67.68,0,67.68
1/15/2015,67.53,68.67,67.05,67.68,0,67.68
1/14/2015,67.53,68.67,67.05,67.68,0,67.68
1/13/2015,67.53,68.67,67.05,67.68,0,67.68
1/12/2015,67.53,68.67,67.05,67.68,0,67.68
1/9/2015,67.53,68.67,67.05,67.68,0,67.68
1/8/2015,67.53,68.67,67.05,67.68,0,67.68
1/7/2015,67.53,68.67,67.05,67.68,0,67.68
1/6/2015,67.53,68.67,67.05,67.68,0,67.68
1/5/2015,67.53,68.67,67.05,67.68,0,67.68
1/2/2015,67.53,68.67,67.05,67.68,0,67.68
12/31/2014,67.53,68.67,67.05,67.68,0,67.68
12/30/2014,67.53,68.67,67.05,67.68,0,67.68
12/29/2014,67.53,68.67,67.05,67.68,0,67.68
12/26/2014,67.53,68.67,67.05,67.68,0,67.68
12/19/2014,67.53,68.67,67.05,67.68,0,67.68
12/18/2014,65.09,68.19,65.09,68.06,0,68.06
12/17/2014,61.43,65.1,61.43,64.67,0,64.67
12/16/2014,63.16,64.46,61.1,61.26,0,61.26
12/15/2014,66.6,67.87,62.47,62.48,0,62.48
12/12/2014,68.02,68.47,66.5,66.84,0,66.84
12/11/2014,68.5,70.51,67.67,68.4,0,68.4
12/10/2014,71.83,73.17,69.08,69.22,0,69.22
12/9/2014,68.89,73.02,68.89,71.93,0,71.93
12/8/2014,68.04,69.05,65.93,68.03,0,68.03
12/5/2014,68.81,69.06,67.16,67.87,0,67.87
12/4/2014,70.71,71.23,69.14,69.28,0,69.28
12/3/2014,68.99,71.69,68.99,70.82,0,70.82
12/2/2014,69.62,70.81,68.14,68.68,0,68.68
12/1/2014,66.49,70.92,66.49,70.85,0,70.85
11/28/2014,71.46,71.46,65.93,66.09,0,66.09
11/26/2014,72.85,72.87,71.95,72.06,0,72.06
11/25/2014,70.08,73.01,70.01,72.89,0,72.89
11/24/2014,70.93,71.47,69.66,70.06,0,70.06
11/21/2014,70.49,72.51,70.22,71.29,0,71.29
11/20/2014,68.9,70.53,68.9,69.82,0,69.82
11/19/2014,72.23,72.3,68.13,68.24,0,68.24
11/18/2014,69.41,72.74,69.41,72.56,0,72.56
11/17/2014,67.45,69.26,65.94,69.01,0,69.01
11/14/2014,62.94,67.99,61.82,67.72,0,67.72
11/13/2014,64.73,65.25,62.95,63.34,0,63.34
11/12/2014,64.92,66.38,63.23,64.63,0,64.63
11/11/2014,62.73,65.82,62.73,64.74,0,64.74
11/10/2014,65.96,65.96,62.22,62.55,0,62.55
