Date,Open,High,Low,Close,Volume,AdjustedClose
4/6/2015,68.87,70.82,68.87,70.48,0,70.48
4/2/2015,68.45,69.17,67.31,67.96,0,67.96
4/1/2015,66.04,69.1,66.04,68.9,0,68.9
3/31/2015,66.36,66.79,65.1,65.5,0,65.5
3/30/2015,66.88,67.35,66.13,66.52,0,66.52
3/27/2015,68.1,68.67,66.75,67.73,0,67.73
3/26/2015,70.39,71.47,67.85,68.39,0,68.39
3/25/2015,71.1,71.44,69.43,69.49,0,69.49
3/24/2015,70.86,71.15,70,70.56,0,70.56
3/23/2015,69.58,70.99,69.58,70.81,0,70.81
3/20/2015,67.68,70.27,67.68,69.27,0,69.27
3/19/2015,67.34,67.83,66.15,67.23,0,67.23
3/18/2015,64.17,67.66,63.76,67.58,0,67.58
3/17/2015,64.89,65.89,64.18,64.39,0,64.39
3/16/2015,65.73,66,64.07,65.5,0,65.5
3/13/2015,65.55,65.68,63.55,65.58,0,65.58
3/12/2015,66.39,66.88,64.9,65.57,0,65.57
3/11/2015,63.83,66.1,62.48,65.97,0,65.97
3/10/2015,64.87,65.98,63.23,63.78,0,63.78
3/9/2015,67.94,67.96,64.99,65.23,0,65.23
3/6/2015,71.55,71.55,67.23,67.6,0,67.6
3/5/2015,72.94,73.75,72.09,72.53,0,72.53
3/4/2015,73.71,73.85,72.37,72.69,0,72.69
3/3/2015,75.41,76.26,73.57,73.81,0,73.81
3/2/2015,76.92,76.97,74.72,75.26,0,75.26
2/27/2015,76.1,77.63,76.1,76.94,0,76.94
2/26/2015,76.28,76.61,75.65,75.84,0,75.84
2/25/2015,74.69,75.7,74.43,75.4,0,75.4
2/24/2015,73.73,74.8,73.34,73.98,0,73.98
2/23/2015,73.77,75.13,73.23,74.23,0,74.23
2/20/2015,74.92,76.17,74.25,74.28,0,74.28
2/19/2015,76.52,76.71,74.42,74.68,0,74.68
2/18/2015,74.77,76.66,73.92,76.47,0,76.47
2/17/2015,76.49,76.49,74.63,74.8,0,74.8
2/13/2015,77.23,78.12,76.92,77.12,0,77.12
2/12/2015,75.81,76.93,75.48,76.48,0,76.48
2/11/2015,77,77.19,75.1,75.37,0,75.37
