Date,Open,High,Low,Close,Volume,AdjustedClose
4/6/2015,735.92,747.32,734.11,744.71,0,744.71
4/2/2015,718.11,734.35,717.7,733.21,0,733.21
4/1/2015,718.54,727.01,717.57,720.68,0,720.68
3/31/2015,709.61,720.59,706.11,715.74,0,715.74
3/30/2015,707.44,715.9,705.79,714.74,0,714.74
3/27/2015,703.51,708.27,699.26,702.87,0,702.87
3/26/2015,718,723.02,706.04,706.99,0,706.99
3/25/2015,705.89,714.16,701.03,709.83,0,709.83
3/24/2015,700.54,703.16,695.64,701.94,0,701.94
3/23/2015,703.65,708.93,698.62,698.63,0,698.63
3/20/2015,700.79,708.81,700.09,703.1,0,703.1
3/19/2015,700.72,704.46,690.99,693.43,0,693.43
3/18/2015,684.19,715.9,680.47,711.59,0,711.59
3/17/2015,684.87,691.78,680.8,688.1,0,688.1
3/16/2015,676.51,686.98,672,686.83,0,686.83
3/13/2015,677.53,679.72,667.21,679.15,0,679.15
3/12/2015,688.33,689.63,681.44,681.63,0,681.63
3/11/2015,678.72,686.63,674.64,685.97,0,685.97
3/10/2015,684.93,687.85,677.75,677.75,0,677.75
3/9/2015,703.43,705.16,688.9,688.92,0,688.92
3/6/2015,711.26,714.13,701.85,704.03,0,704.03
3/5/2015,720.61,720.61,713.36,717.23,0,717.23
3/4/2015,724.56,724.71,711.77,723.32,0,723.32
3/3/2015,721.17,730.09,717.94,724,0,724
3/2/2015,722.86,723.38,713.63,719.65,0,719.65
2/27/2015,731.18,734.08,722.19,723.83,0,723.83
2/26/2015,748.69,750.42,725.2,728.58,0,728.58
2/25/2015,748.48,759.62,744.42,756.92,0,756.92
2/24/2015,745.26,749.08,741.12,748.77,0,748.77
2/23/2015,742.11,749.77,737.36,741.88,0,741.88
2/20/2015,753.51,759.27,744.52,748.75,0,748.75
2/19/2015,739.03,756.47,734.83,753.66,0,753.66
2/18/2015,755.35,757.03,745.42,749.12,0,749.12
2/17/2015,750.16,757.96,743.47,755.35,0,755.35
2/13/2015,746.86,753.04,743.41,752.74,0,752.74
2/12/2015,739.32,745.13,736.92,739.41,0,739.41
2/11/2015,735.06,739.73,723.26,732.87,0,732.87
2/10/2015,739.32,744.43,724.15,742.92,0,742.92
2/9/2015,747.39,755.09,737.25,739.11,0,739.11
2/6/2015,754.39,757.03,742.12,745.18,0,745.18
2/5/2015,743.07,756.06,743.04,750.93,0,750.93
2/4/2015,740.97,742.95,727.54,737.12,0,737.12
2/3/2015,734.56,754.89,734.56,749.8,0,749.8
2/2/2015,707.99,729.61,707.48,729.33,0,729.33
1/30/2015,688.8,710.53,681.73,702.99,0,702.99
1/29/2015,697.76,702.19,679.03,694.43,0,694.43
1/28/2015,724.39,724.39,693.65,695.61,0,695.61
1/27/2015,723.73,731.83,718.79,728.62,0,728.62
1/26/2015,719.67,727.92,713.22,725.24,0,725.24
1/23/2015,721.92,729.66,718.35,718.94,0,718.94
1/22/2015,727.48,729.54,707.76,721,0,721
1/21/2015,709.05,727.08,709.05,724.33,0,724.33
1/20/2015,710.82,710.83,694.07,705.13,0,705.13
1/16/2015,690.11,715.26,690.11,714.86,0,714.86
1/15/2015,701.17,705.35,688.76,689.1,0,689.1
1/14/2015,678.08,694.74,671.96,693.59,0,693.59
1/13/2015,685.15,692.86,676.04,683.48,0,683.48
1/12/2015,695.8,695.8,676.94,683.15,0,683.15
1/9/2015,703.81,705.16,691.96,701.44,0,701.44
1/8/2015,689.67,704.73,686.19,702.36,0,702.36
1/7/2015,691.82,696.02,682.05,685.39,0,685.39
1/6/2015,696.05,704.31,681.09,688.01,0,688.01
1/5/2015,726.24,726.24,698.22,699.13,0,699.13
1/2/2015,727.2,734.78,719.53,731.7,0,731.7
12/31/2014,728.04,735.77,722.85,727.39,0,727.39
12/30/2014,739.95,741.33,730.24,730.69,0,730.69
12/29/2014,736.73,746.49,736.73,742.42,0,742.42
12/26/2014,735.69,740.62,729.72,733.72,0,733.72
12/24/2014,735.52,736.29,728.21,732.71,0,732.71
12/23/2014,732.06,739.45,730.9,738.39,0,738.39
12/22/2014,739.61,739.61,720.24,728.78,0,728.78
12/19/2014,735.33,748.58,729.19,748.24,0,748.24
12/18/2014,734.36,742.3,714.87,733.48,0,733.48
12/17/2014,687.18,726.91,687.18,721.35,0,721.35
12/16/2014,673.98,708.6,670.39,687.18,0,687.18
12/15/2014,694.31,700.2,677.07,678.17,0,678.17
