TradeDate,Open,High,Low,Close,Settle,Change,TotalVolume,EFP,PrevDayOpenInterest
4/6/2015,16.2,16.25,15.15,15.3,15.275,15.28,60095,0,123388
4/2/2015,16.05,16.31,15.6,15.65,15.625,-0.4,57548,0,128670
4/1/2015,16.3,16.99,16,16.05,16.025,-0.25,80527,0,129699
3/31/2015,15.8,16.35,15.73,16.3,16.275,0.5,61012,0,134171
3/30/2015,16.25,16.4,15.6,15.8,15.775,-0.45,61125,0,139354
3/27/2015,16.5,16.8,16.2,16.25,16.225,-0.25,62065,0,140781
3/26/2015,16.6,17.45,16.45,16.5,16.475,-0.1,107415,1048,146117
3/25/2015,15.85,16.73,15.7,16.6,16.575,0.7,98477,0,156333
3/24/2015,16.05,16.1,15.55,15.85,15.875,-0.2,90560,353,166366
3/23/2015,16.15,16.37,15.75,16.1,16.075,-0.1,60684,1610,165725
3/20/2015,16.55,16.7,15.45,16.15,16.175,-0.35,110429,1085,164417
3/19/2015,16.55,17.05,16.45,16.55,16.525,0,77054,328,158701
3/18/2015,17.35,17.65,16.4,16.5,16.525,-0.85,113323,563,165714
3/17/2015,16.05,16.4,15.6,15.6,15.625,-0.5,55613,0,39090
3/16/2015,16.4,16.62,15.65,16.15,16.125,-0.3,63557,0,48560
3/13/2015,15.9,17.17,15.68,16.4,16.425,0.55,70136,0,63587
3/12/2015,17.22,17.23,15.8,15.85,15.875,-1.35,63915,0,75327
3/11/2015,16.9,17.45,16.48,17.25,17.225,0.3,71768,0,87418
3/10/2015,15.85,17.05,15.81,16.95,16.925,1.1,85182,0,101939
3/9/2015,16.2,16.35,15.7,15.8,15.825,-0.4,59320,198,112624
3/6/2015,15.35,16.5,15.3,16.2,16.225,0.9,96862,0,119138
3/5/2015,15.72,15.9,15.3,15.35,15.325,-0.4,60992,0,128527
3/4/2015,15.8,16.53,15.65,15.75,15.725,-0.05,74750,0,131925
3/3/2015,15.3,16.37,15.3,15.79,15.775,0.45,72917,1158,136954
3/2/2015,15.9,16,15.3,15.3,15.325,-0.5,56823,1626,144223
2/27/2015,16,16.27,15.7,15.85,15.825,-0.2,63466,434,143539
2/26/2015,16.4,16.65,15.9,16,16.025,-0.4,69705,0,148685
2/25/2015,16.1,16.6,15.55,16.4,16.425,0.3,102409,3916,152110
2/24/2015,17.03,17.09,16.1,16.1,16.125,-0.9,90124,1645,153512
2/23/2015,16.95,17.3,16.9,17.05,17.025,0.1,44184,0,143337
2/20/2015,17.64,18.1,16.8,16.9,16.925,-0.7,95712,520,155774
2/19/2015,17.9,18.25,17.55,17.6,17.625,-0.25,56750,539,157680
2/18/2015,18.25,18.45,17.85,17.9,17.875,-0.38,70440,498,154980
2/17/2015,16.5,17.15,16.01,16.2,16.2,-0.3,56224,0,33335
2/13/2015,16.9,17.05,16.3,16.45,16.5,-0.38,61793,16,45031
2/12/2015,18.45,18.77,16.7,16.9,16.875,-1.55,83429,0,58343
2/11/2015,18.6,19.12,18.35,18.4,18.425,-0.15,72141,0,65624
2/10/2015,19.6,19.75,18.37,18.55,18.575,-1.05,57765,412,74184
2/9/2015,19.3,20.17,19.3,19.65,19.625,0.45,57706,0,78124
2/6/2015,18.65,20.05,17.95,19.15,19.175,0.5,104561,0,84853
2/5/2015,19.8,20.15,18.35,18.7,18.675,-1.1,70860,257,84759
2/4/2015,18.85,19.8,18.45,19.8,19.775,0.9,87140,359,89074
2/3/2015,19.9,20.5,18.75,18.85,18.875,-1.1,85760,334,95318
2/2/2015,21,21.88,19.8,20,19.975,-1.05,104294,0,99818
1/30/2015,19.1,21.7,18.98,21.05,21.025,1.95,115748,0,106338
1/29/2015,20.3,20.85,19.05,19.1,19.075,-1.4,122788,357,112149
1/28/2015,17.85,20.5,17.48,20.5,20.475,2.6,138124,0,120049
1/27/2015,17.3,18.75,17.16,17.85,17.875,0.65,101588,68,125742
1/26/2015,18.6,19.2,17.2,17.23,17.225,-1.15,75271,366,134277
1/23/2015,17.9,18.5,17.6,18.35,18.375,0.5,87566,415,135210
1/22/2015,18.9,19.35,17.78,17.85,17.875,-1,117872,393,137245
1/21/2015,20.1,20.65,18.85,18.85,18.875,-1.25,111249,451,134118
1/20/2015,20.7,21.14,19.5,20.15,20.175,-0.45,73761,0,33981
1/16/2015,21.45,22.35,20.5,20.65,20.625,-0.85,79540,0,53142
1/15/2015,20.6,21.75,19.79,21.5,21.475,0.9,111498,0,60878
1/14/2015,20.15,21.93,19.97,20.6,20.575,0.4,129626,0,75137
1/13/2015,19.5,20.83,18.4,20.2,20.175,0.6,108144,441,76641
1/12/2015,18.5,20,17.98,19.6,19.575,0.95,92520,0,83303
1/9/2015,17.7,18.7,17.25,18.65,18.625,0.95,102147,561,88622
1/8/2015,18.9,18.9,17.5,17.7,17.675,-1.18,86495,0,89742
1/7/2015,19.8,19.8,18.64,18.83,18.85,-1.02,97060,0,94806
1/6/2015,19.05,20.55,18.7,19.85,19.875,0.75,139001,0,97339
1/5/2015,17.85,19.55,17.55,19.11,19.125,1.3,115804,0,104245
1/2/2015,17.85,18.9,17.07,17.85,17.825,-0.2,111324,0,111105
12/31/2014,16.45,18.42,16.25,18.05,18.025,1.6,91696,0,115485
