Date,Close
4/2/2015,1.08
4/1/2015,1.05
3/31/2015,1.06
3/30/2015,1.06
3/27/2015,1.02
3/26/2015,1.02
3/25/2015,1.04
3/24/2015,1.06
3/23/2015,1.08
3/20/2015,1.07
3/19/2015,1.02
3/18/2015,1.02
3/17/2015,1.02
3/16/2015,1.03
3/13/2015,1.01
3/12/2015,1.03
3/11/2015,1.01
3/10/2015,1
3/9/2015,0.99
3/6/2015,0.97
3/5/2015,0.98
3/4/2015,1
3/3/2015,1
3/2/2015,1.02
2/27/2015,1.03
2/26/2015,0.99
2/25/2015,1.01
2/24/2015,1.02
2/23/2015,1.02
2/20/2015,1.03
2/19/2015,1.06
2/18/2015,1.06
2/17/2015,1.08
2/16/2015,1.08
2/13/2015,1.05
2/12/2015,1.05
2/11/2015,1.05
2/10/2015,1.06
2/9/2015,1.06
2/6/2015,1.06
2/5/2015,1.05
2/4/2015,1.04
2/3/2015,1.02
2/2/2015,1.01
1/30/2015,1.01
1/29/2015,1.03
1/28/2015,1.02
1/27/2015,1.05
1/26/2015,1.06
1/23/2015,1.07
1/22/2015,1.08
1/21/2015,1.08
1/20/2015,1.06
1/19/2015,1.07
1/16/2015,1.08
1/15/2015,1.08
1/14/2015,1.08
1/13/2015,1.12
1/12/2015,1.14
1/9/2015,1.13
1/8/2015,1.16
1/7/2015,1.18
1/6/2015,1.2
1/5/2015,1.19
12/31/2014,1.24
12/30/2014,1.24
12/29/2014,1.24
12/24/2014,1.3
12/23/2014,1.25
12/22/2014,1.29
12/19/2014,1.31
12/18/2014,1.33
12/17/2014,1.28
12/16/2014,1.29
12/15/2014,1.25
12/12/2014,1.24
12/11/2014,1.18
12/10/2014,1.17
12/9/2014,1.19
12/8/2014,1.22
12/5/2014,1.2
12/4/2014,1.19
12/3/2014,1.19
12/2/2014,1.23
12/1/2014,1.19
11/28/2014,1.16
11/27/2014,1.15
11/26/2014,1.12
11/25/2014,1.13
11/24/2014,1.11
11/21/2014,1.14
11/20/2014,1.11
11/19/2014,1.11
11/18/2014,1.1
11/17/2014,1.12
11/14/2014,1.14
11/13/2014,1.12
11/12/2014,1.11
11/11/2014,1.05
11/10/2014,1.06
11/7/2014,1.06
11/6/2014,1.08
11/5/2014,1.07
11/4/2014,1.09
11/3/2014,1.09
10/31/2014,1.08
10/30/2014,1.11
10/29/2014,1.09
10/28/2014,1.09
10/27/2014,1.07
10/24/2014,1.08
10/23/2014,1.09
10/22/2014,1.08
10/21/2014,1.07
10/20/2014,1.05
10/17/2014,1.07
10/16/2014,1.05
10/15/2014,1.04
10/14/2014,1.03
10/13/2014,1.03
10/10/2014,1
10/9/2014,1.02
10/8/2014,1.04
10/7/2014,1.04
10/6/2014,1.01
10/3/2014,0.99
10/2/2014,1
10/1/2014,0.97
9/30/2014,0.97
9/29/2014,0.99
9/26/2014,0.97
9/25/2014,0.96
9/24/2014,0.99
9/23/2014,0.97
9/22/2014,0.97
9/19/2014,0.98
9/18/2014,1.01
9/17/2014,1.02
9/16/2014,1.02
9/15/2014,1.03
9/12/2014,1.03
9/11/2014,1.05
9/10/2014,1.07
9/9/2014,1.08
9/8/2014,1.09
9/5/2014,1.1
9/4/2014,1.09
9/3/2014,1.1
9/2/2014,1.14
9/1/2014,1.16
8/29/2014,1.18
8/28/2014,1.18
8/27/2014,1.14
8/26/2014,1.12
8/22/2014,1.16
8/21/2014,1.14
8/20/2014,1.13
8/19/2014,1.14
8/18/2014,1.15
8/15/2014,1.15
8/14/2014,1.13
8/13/2014,1.13
8/12/2014,1.13
8/11/2014,1.15
8/8/2014,1.17
8/7/2014,1.19
8/6/2014,1.2
8/5/2014,1.15
8/4/2014,1.16
8/1/2014,1.13
7/31/2014,1.12
7/30/2014,1.12
7/29/2014,1.1
7/28/2014,1.14
7/25/2014,1.13
7/24/2014,1.13
7/23/2014,1.12
7/22/2014,1.12
7/21/2014,1.12
7/18/2014,1.14
7/17/2014,1.12
7/16/2014,1.14
7/15/2014,1.13
7/14/2014,1.13
7/11/2014,1.15
7/10/2014,1.16
7/9/2014,1.17
7/8/2014,1.19
7/7/2014,1.2
7/4/2014,1.24
7/3/2014,1.23
7/2/2014,1.21
7/1/2014,1.21
6/30/2014,1.24
6/27/2014,1.26
6/26/2014,1.24
6/25/2014,1.24
6/24/2014,1.23
6/23/2014,1.25
6/20/2014,1.27
6/19/2014,1.26
6/18/2014,1.27
6/17/2014,1.25
6/16/2014,1.26
6/13/2014,1.28
6/12/2014,1.27
6/11/2014,1.3
6/10/2014,1.31
6/9/2014,1.32
6/6/2014,1.32
6/5/2014,1.32
6/4/2014,1.34
6/3/2014,1.33
6/2/2014,1.35
5/30/2014,1.37
5/29/2014,1.37
5/28/2014,1.37
5/27/2014,1.39
5/23/2014,1.41
5/22/2014,1.44
5/21/2014,1.45
5/20/2014,1.46
5/19/2014,1.46
5/16/2014,1.46
5/15/2014,1.47
5/14/2014,1.5
5/13/2014,1.53
5/12/2014,1.53
5/9/2014,1.58
5/8/2014,1.58
5/7/2014,1.6
5/6/2014,1.59
5/2/2014,1.55
5/1/2014,1.54
4/30/2014,1.55
4/29/2014,1.55
4/28/2014,1.52
4/25/2014,1.53
4/24/2014,1.51
4/23/2014,1.48
4/22/2014,1.45
4/17/2014,1.52
4/16/2014,1.54
4/15/2014,1.5
4/14/2014,1.5
4/11/2014,1.46
4/10/2014,1.45
4/9/2014,1.5
4/8/2014,1.47
4/7/2014,1.47
4/4/2014,1.45
4/3/2014,1.47
4/2/2014,1.48
4/1/2014,1.51
3/31/2014,1.51
3/28/2014,1.53
3/27/2014,1.53
3/26/2014,1.53
3/25/2014,1.55
3/24/2014,1.57
3/21/2014,1.53
3/20/2014,1.54
3/19/2014,1.57
3/18/2014,1.51
3/17/2014,1.49
3/14/2014,1.49
3/13/2014,1.48
3/12/2014,1.49
3/11/2014,1.43
3/10/2014,1.43
3/7/2014,1.44
3/6/2014,1.41
3/5/2014,1.41
3/4/2014,1.39
3/3/2014,1.4
2/28/2014,1.3
2/27/2014,1.32
2/26/2014,1.34
2/25/2014,1.33
2/24/2014,1.32
2/21/2014,1.34
2/20/2014,1.34
2/19/2014,1.34
2/18/2014,1.32
2/17/2014,1.32
2/14/2014,1.31
2/13/2014,1.3
2/12/2014,1.3
2/11/2014,1.28
2/10/2014,1.27
2/7/2014,1.28
2/6/2014,1.28
2/5/2014,1.28
2/4/2014,1.26
2/3/2014,1.22
1/31/2014,1.21
1/30/2014,1.22
1/29/2014,1.23
1/28/2014,1.25
1/27/2014,1.24
1/24/2014,1.24
1/23/2014,1.25
1/22/2014,1.23
1/21/2014,1.24
1/20/2014,1.24
1/17/2014,1.25
1/16/2014,1.24
1/15/2014,1.26
1/14/2014,1.25
1/13/2014,1.26
1/10/2014,1.28
1/9/2014,1.28
1/8/2014,1.31
1/7/2014,1.32
1/6/2014,1.34
1/3/2014,1.32
1/2/2014,1.32
12/31/2013,1.32
12/30/2013,1.33
12/27/2013,1.33
12/24/2013,1.34
12/23/2013,1.34
12/20/2013,1.34
12/19/2013,1.35
12/18/2013,1.35
12/17/2013,1.37
12/16/2013,1.37
12/13/2013,1.38
12/12/2013,1.39
12/11/2013,1.4
12/10/2013,1.41
12/9/2013,1.43
12/6/2013,1.43
12/5/2013,1.43
12/4/2013,1.46
12/3/2013,1.47
12/2/2013,1.45
11/29/2013,1.47
11/28/2013,1.46
11/27/2013,1.47
11/26/2013,1.44
11/25/2013,1.45
11/22/2013,1.44
11/21/2013,1.44
11/20/2013,1.44
11/19/2013,1.44
11/18/2013,1.44
11/15/2013,1.44
11/14/2013,1.45
11/13/2013,1.44
11/12/2013,1.45
11/11/2013,1.46
11/8/2013,1.46
11/7/2013,1.47
11/6/2013,1.47
11/5/2013,1.48
11/4/2013,1.49
11/1/2013,1.5
10/31/2013,1.5
10/30/2013,1.52
10/29/2013,1.53
10/28/2013,1.53
10/25/2013,1.56
10/24/2013,1.57
10/23/2013,1.59
10/22/2013,1.56
10/21/2013,1.57
10/18/2013,1.58
10/17/2013,1.54
10/16/2013,1.53
10/15/2013,1.54
10/14/2013,1.54
10/11/2013,1.54
10/10/2013,1.55
10/9/2013,1.55
10/8/2013,1.56
10/7/2013,1.55
10/4/2013,1.54
10/3/2013,1.55
10/2/2013,1.54
10/1/2013,1.52
9/30/2013,1.53
9/27/2013,1.52
9/26/2013,1.51
9/25/2013,1.5
9/24/2013,1.46
9/20/2013,1.45
9/19/2013,1.47
9/18/2013,1.45
9/17/2013,1.45
9/16/2013,1.44
9/13/2013,1.44
9/12/2013,1.44
9/11/2013,1.44
9/10/2013,1.45
9/9/2013,1.44
9/6/2013,1.43
9/5/2013,1.43
9/4/2013,1.44
9/3/2013,1.45
9/2/2013,1.46
8/30/2013,1.47
8/29/2013,1.46
8/28/2013,1.49
8/27/2013,1.49
8/23/2013,1.44
8/22/2013,1.45
8/21/2013,1.47
8/20/2013,1.46
8/19/2013,1.46
8/16/2013,1.44
8/15/2013,1.45
8/14/2013,1.43
8/13/2013,1.45
8/12/2013,1.45
8/9/2013,1.46
8/8/2013,1.47
8/7/2013,1.47
8/6/2013,1.48
8/5/2013,1.48
8/2/2013,1.52
8/1/2013,1.49
7/31/2013,1.51
7/30/2013,1.5
