Date,Value
2015-12-31,148.092
2014-12-31,146.197
2013-12-31,143.93
2012-12-31,142.466
2011-12-31,139.879
2010-12-31,139.076
2009-12-31,139.894
2008-12-31,145.373
2007-12-31,146.05
2006-12-31,144.418
2005-12-31,141.71
2004-12-31,139.24
2003-12-31,137.729
2002-12-31,136.481
2001-12-31,136.939
2000-12-31,136.901
1999-12-31,133.501
1998-12-31,131.476
1997-12-31,129.572
1996-12-31,126.72
1995-12-31,124.908
1994-12-31,123.071
1993-12-31,120.259
1992-12-31,118.488
1991-12-31,117.713
1990-12-31,118.796
1989-12-31,117.327
1988-12-31,114.974
1987-12-31,112.439
1986-12-31,109.601
1985-12-31,107.154
1984-12-31,105.003
1983-12-31,100.822
1982-12-31,99.529
1981-12-31,100.4
1980-12-31,99.303
