date,coffeevalue,coppervalue,cottonetfvalue,glodvalue,nasdaqvixsettle,gasclose,crudeoilsettle,spvixclose,beanclose,wheatclose
2014-01-02 00:00:00,1.268,7439.25,2.58,88.78,15.8,805.71,95.44,1831.98,24.53,1.32
2014-01-06 00:00:00,1.3026,7313.25,2.55,88.37,15.9,799.53,93.43,1826.77,24.41,1.34
2014-01-07 00:00:00,1.3478,7353.5,2.59,88.42,15.55,806.57,93.67,1837.88,24.41,1.32
2014-01-08 00:00:00,1.3142,7367.5,2.59,87.34,15.4,802.68,92.33,1837.49,24.37,1.31
2014-01-09 00:00:00,1.3499,7281.5,2.56,85.69,15.6,795.38,91.66,1838.13,24.37,1.28
2014-01-10 00:00:00,1.3413,7283.25,2.56,88.15,15.0,799.37,92.72,1842.37,24.37,1.28
2014-01-13 00:00:00,1.3564,7305.25,2.56,91.01,15.5,786.19,91.8,1819.2,24.43,1.26
2014-01-14 00:00:00,1.3536,7342.5,2.56,89.36,14.5,797.53,92.59,1838.88,24.43,1.25
2014-01-15 00:00:00,1.3506,7308.5,2.56,90.44,14.6,798.85,94.17,1848.38,25.34,1.26
2014-01-16 00:00:00,1.3284,7345.25,2.6,91.36,14.85,807.11,93.96,1845.89,25.39,1.24
2014-01-17 00:00:00,1.3336,7379.25,2.64,94.07,14.95,800.94,94.37,1838.7,25.39,1.25
2014-01-21 00:00:00,1.3215,7331.75,2.66,95.26,14.8,815.95,94.99,1843.8,24.95,1.24
2014-01-22 00:00:00,1.3113,7326.5,2.68,92.23,14.22,829.66,96.73,1844.86,24.49,1.23
2014-01-23 00:00:00,1.3097,7284.75,2.68,94.92,15.45,828.3,97.32,1828.46,24.58,1.25
2014-01-24 00:00:00,1.3168,7239.75,2.68,94.92,17.05,819.0,96.64,1790.29,24.58,1.24
2014-01-27 00:00:00,1.3074,7232.5,2.68,92.25,17.25,809.85,95.72,1781.56,24.75,1.24
2014-01-28 00:00:00,1.3085,7214.75,2.59,93.87,16.65,821.06,97.41,1792.5,24.54,1.25
2014-01-29 00:00:00,1.3093,7208.5,2.59,96.03,17.45,819.04,97.36,1774.2,24.54,1.23
2014-01-30 00:00:00,1.3264,7154.5,2.64,93.62,17.55,820.72,98.23,1794.19,24.17,1.22
2014-01-31 00:00:00,1.3563,7090.5,2.64,93.39,18.35,819.8,97.49,1782.59,24.17,1.21
2014-02-03 00:00:00,1.4084,7095.25,2.61,92.28,19.65,805.78,96.43,1741.89,24.61,1.22
2014-02-04 00:00:00,1.5092,7106.0,2.63,92.42,19.65,822.4,97.19,1755.2,25.1,1.26
2014-02-05 00:00:00,1.5233,7095.75,2.63,90.68,20.2,814.92,97.38,1751.64,25.26,1.28
2014-02-06 00:00:00,1.5839,7108.75,2.64,90.67,18.25,820.38,97.84,1773.43,25.49,1.28
2014-02-07 00:00:00,1.5424,7199.75,2.64,93.28,16.8,820.96,99.88,1797.02,25.39,1.28
